Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0381192376152476;0.4353741496598639;1.2016956902131004
Unknown;0.0044399112017759;0.5358024691358024;0.9186073078190844
Unknown;0.2566748665026699;0.2733333333333333;0.4981302487039307
High;0.6155876882462351;-0.2196969696969697;0.1774886319702876
Unknown;0.4680706385872282;-0.2457912457912457;-0.2261214478431132
High;0.1720365592688146;0.1328083989501312;0.3722589466009254
Unknown;0.0267994640107197;0.5833333333333334;0.8863544486924887
High;0.1552768944621107;-0.2949832775919732;-0.4307305692953773
Low;3.999920001599968e-05;0.7274909963985594;1.284588297400022
Unknown;0.0156396872062558;0.4354575163398693;0.659315143548865
Low;0.3984320313593728;0.238095238095238;0.340007813112794
Unknown;0.0296394072118557;0.3931034482758621;0.7152531917364452
High;0.7869442611147777;-0.1828358208955224;-0.0654739988321358
Unknown;0.9172616547669048;-0.0339506172839506;0.0325464467740162
High;3.999920001599968e-05;0.8672839506172839;1.615874299562741
Unknown;0.0011599768004639;0.7192982456140351;1.291642193990624
High;0.3247135057298854;0.0801033591731266;0.2704595126703928
Low;3.999920001599968e-05;0.802020202020202;1.5809707353272635
High;0.0187196256074878;0.3577777777777777;0.6877245586109956
Unknown;0.7205855882882343;0.0;-0.1256098641090657
Unknown;7.999840003199936e-05;0.7951388888888888;1.3831228159360176
Low;0.0234795304093918;0.4829059829059829;0.7193025246084864
Unknown;0.3178336433271334;-0.36;-0.464555057307446
Unknown;0.5316293674126518;-0.0384615384615384;0.1863642295431797
Unknown;0.0525989480210395;-0.3319473319473319;-0.585077655261937
Unknown;0.3929121417571649;0.1805555555555555;0.3105347046395716
Medium;0.0763584728305434;-0.6009070294784581;-0.6819760251058182
Unknown;0.881542369152617;-0.0112517580872011;-0.0446032072324899
Unknown;0.9742605147897042;0.0962962962962963;-0.0088659294609228
High;0.0153996920061598;0.3422619047619047;0.634112634646529
Medium;0.4811903761924762;-0.0032362459546925;0.2235370230083924
High;0.2283954320913581;0.1152882205513784;0.3277831280758493
Unknown;0.6803463930721385;-0.2365339578454332;-0.2197164638277558
Unknown;0.2333153336933261;0.130315500685871;0.4258451843774047
High;0.0297194056118877;0.4414414414414414;0.7611735555451928
Medium;0.0887982240355192;0.4926108374384236;0.6903761614902612
High;0.6321873562528749;-0.396871945259042;-0.1370696928056957
High;0.0019999600007999;0.3877887788778877;0.8486713760356691
High;0.8442631147377052;-0.1394557823129251;-0.0682904074402879
Unknown;0.0963580728385432;0.4542483660130719;0.6937109127982577
High;0.7333053338933221;-0.1678571428571428;-0.04987381785803
Unknown;0.0496390072198556;0.5690072639225182;1.005698855666059
Unknown;0.0086798264034719;0.6385185185185185;1.0110837519668954
Unknown;0.2016359672806544;0.3414043583535109;0.5301180139514438
Unknown;0.1464770704585908;0.2693181818181818;0.4789660914930059
High;0.2020359592808144;0.3066666666666666;0.5979519101402165
Unknown;0.0011999760004799;0.5225641025641026;0.8123791326623891
Unknown;0.0049199016019679;0.5520833333333334;1.1104116362274483
High;0.4886702265954681;0.0258823529411764;0.2430576169364932
High;0.0005599888002239;0.7052154195011338;0.9708293004751394
Unknown;3.999920001599968e-05;0.803105151729005;1.277189396704606
Low;0.0001999960000799;0.6856060606060606;1.072586286635448
Low;0.5333893322133557;-0.4358974358974359;-0.2552282076044079
High;0.1575757575757575;-0.4770642201834862;-1.1090174341631325
Unknown;0.0016799664006719;0.5916083916083916;0.8525611228222241
High;0.5324293514129718;-0.1283292978208232;-0.2370906915053289
Unknown;0.0025999480010399;0.6068840579710145;0.9757681798431193
Unknown;0.4264314713705726;0.1635294117647059;0.2598475940745772
High;3.999920001599968e-05;0.8787878787878788;1.1661482656152795
Medium;0.0797984040319193;0.4012345679012346;0.6899183799893951
High;0.7078658426831463;0.0992907801418439;0.1198201472061479
Unknown;0.4026719465610688;0.1729024943310657;0.2404450367272373
High;0.9266214675706486;-0.0634920634920634;-0.0205481771488037
Unknown;0.7735445291094178;0.0124080882352941;0.0824721623991345
Control;0.3327133457330853;-0.2781609195402298;-0.3251134191523291
High;0.0354792904141917;-0.358974358974359;-0.7112638592936971
Medium;0.0387192256154876;0.6940836940836941;0.8483069428470161
Unknown;0.1381172376552469;0.4930555555555556;0.6823115799602392
Unknown;0.3341687552213868;0.3823529411764705;0.5704093038122352
High;0.2044359112817743;0.10202492211838;0.3709694880294424
Low;0.0058798824023519;0.529320987654321;0.9540175325588736
Unknown;0.6983296933156972;0.1428571428571428;0.242220783688296
High;0.0167596648067038;-0.4149659863945578;-1.124927167275543
Unknown;0.5172296554068918;0.0738916256157635;0.2408246571058908
Unknown;0.118277634447311;0.2347222222222222;0.4079202773140863
Unknown;0.8559028819423612;0.1478696741854636;0.0152584428376265
High;0.0173996520069598;0.4181818181818181;0.7216985280092274
Medium;0.0969580608387832;-0.7037037037037037;-0.6810102031825006
High;3.999920001599968e-05;0.6717171717171717;1.0718167754117116
Unknown;0.8989020219595608;0.0641025641025641;-0.0488553315684995
Medium;0.24227515449691;0.308133971291866;0.3775472459011239
Unknown;0.0134797304053918;-0.4921630094043887;-0.8280848159816705
Low;0.5543489130217396;-0.1434511434511434;0.191776414693975
Medium;0.0713185736285274;0.2792266187050359;0.4845867784831761
Unknown;0.5638287234255315;0.10546875;0.1834207216827403
Low;3.999920001599968e-05;0.7605263157894737;1.150913824788695
