Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.2919941601167977;0.3469387755102041;0.4699806990724643
Unknown;0.0047599048019039;-0.5703703703703704;-0.7764348771346091
Unknown;0.988380232395352;0.1533333333333333;-0.0293659250325758
High;0.0038399232015359;-0.4469696969696969;-0.6938440096165202
Unknown;0.0046399072018559;0.1784511784511784;1.0506123282020337
High;0.0053598928021439;-0.236745406824147;-0.6845371119061334
Unknown;0.6141077178456431;0.230392156862745;0.2049577480727043
High;0.7089458210835783;0.0408026755852842;0.0970836615422197
Low;3.999920001599968e-05;0.801920768307323;1.0980292867726078
Unknown;0.4535509289814203;0.1968954248366013;0.1635546350714838
Low;0.0055198896022079;0.6441102756892231;1.0654487973966953
Unknown;0.0138797224055518;-0.5310344827586206;-0.8019948648752285
High;0.0093198136037279;-0.5186567164179104;-0.9387496512417208
Unknown;0.238755224895502;0.2345679012345679;0.4262241691502934
High;0.0158796824063518;0.6635802469135802;0.9458550037701534
Unknown;0.5295094098118037;0.1177944862155388;0.2607387880614703
High;0.9167016659666808;0.2630490956072351;0.0078998781039167
Low;0.8718625627487451;0.4868686868686869;-0.0693372571847537
High;0.9384612307753843;0.2244444444444444;-0.0110814230117104
Unknown;0.0241995160096798;0.5192307692307693;0.9331686108302952
Unknown;0.0207595848083038;-0.4583333333333333;-0.8504256527384211
Low;0.3100737985240295;-0.0569800569800569;-0.301340907118293
Unknown;0.9238615227695446;0.0311111111111111;-0.0385093376469999
Unknown;0.5244295114097718;0.1752136752136752;0.181249233354786
Unknown;0.5237095258094838;-0.1614691614691614;0.1783564966265372
Unknown;0.0537989240215195;0.8174603174603174;0.9981144887399714
Medium;0.0005599888002239;0.7369614512471655;1.5607337647398478
Unknown;3.999920001599968e-05;-0.7805907172995781;-1.1616893248823787
Unknown;0.9065418691626168;0.1160493827160493;-0.0555572893088134
High;0.4087918241635167;0.0428571428571428;-0.2419685058024124
Medium;0.9176216475670488;0.0485436893203883;0.0318548748392549
High;0.9497810043799124;0.2591478696741854;-0.0408762439281326
Unknown;0.5451490970180597;0.1194379391100702;0.2428716219361238
Unknown;0.0303993920121597;-0.4128943758573388;-0.8080850784250051
High;0.3192736145277094;0.1081081081081081;-0.3797764190295716
Medium;7.999840003199936e-05;-0.7980295566502463;-2.088489537328194
High;0.7609447811043779;0.2609970674486803;0.0867973735787088
High;0.2692346153076938;0.0973597359735973;-0.3500791729305302
High;0.7631047379052419;0.3061224489795918;0.1125721391959332
Unknown;0.0007199856002879;0.7843137254901961;1.7069027978571334
High;0.114717705645887;0.5464285714285714;0.6274016450611645
Unknown;0.5592688146237075;0.1041162227602905;0.2410478723086223
Unknown;0.1869962600747985;-0.2651851851851852;-0.4256149270829508
Unknown;0.244515109697806;-0.2736077481840194;-0.4786157603141067
Unknown;0.0057598848023039;0.5886363636363636;0.9681945435511794
High;0.6281874362512749;0.28;0.1844829070411325
Unknown;0.0002799944001119;0.721025641025641;1.198596793237078
Unknown;0.0206795864082718;-0.5277777777777778;-0.8590719330898317
High;0.6811863762724746;0.0117647058823529;-0.1833234430526662
High;0.0081598368032639;-0.5192743764172335;-0.9717851326461212
Unknown;7.999840003199936e-05;-0.6146788990825688;-1.023004630330296
Low;0.500029999400012;0.5151515151515151;0.2026709848936357
Low;0.5699486010279794;0.4551282051282051;0.2261618272571636
High;0.9595413595413596;-0.0458715596330275;-0.1454584709555234
Unknown;0.5295894082118358;0.0041958041958041;-0.2081364239338626
High;0.1762364752704946;-0.1380145278450363;-0.5355194621710487
Unknown;0.365032699346013;0.2355072463768115;0.3409019174907375
Unknown;0.9826203475930482;-0.0988235294117647;-0.0106765711264737
High;0.7153856922861542;0.1742424242424242;-0.2011016202678782
Medium;0.4206315873682526;0.1543209876543209;-0.3940971498147294
High;0.9736205275894482;0.2677304964539007;-0.0485466094483803
Unknown;0.1100377992440151;-0.2403628117913832;-0.4458116792998081
High;0.9249015019699606;0.2023809523809523;-0.0082658158404512
Unknown;0.2557948841023179;-0.125;-0.295068276382383
Control;0.0001599968000639;0.696551724137931;1.3865372838594323
High;0.0437991240175196;-0.3125;-0.6350275344196774
Medium;0.1798364032719345;0.0937950937950937;0.4886831967082433
Unknown;0.0489190216195676;0.6388888888888888;1.1203735337907252
Unknown;0.3856307435254804;-0.2941176470588235;-0.4954601097562987
High;0.3844323113537729;0.1417445482866043;0.2702736014940007
Low;0.8301433971320573;0.0648148148148148;-0.1032735794492441
Unknown;0.6603709741917623;0.1071428571428571;0.2797994775951651
High;0.5523489530209396;0.1020408163265306;-0.2724167534756913
Unknown;0.0511189776204475;0.5566502463054187;0.9589254328861004
Unknown;3.999920001599968e-05;-0.7203703703703703;-1.4079390373792928
Unknown;0.5451890962180757;-0.1428571428571428;-0.2484291320282543
High;0.0056398872022559;-0.4277511961722488;-0.7244138677076748
Medium;0.0003599928001439;-0.4725925925925926;-1.505407862981614
High;0.7203855922881542;0.105050505050505;-0.1462917444179469
Unknown;0.6366672666546669;-0.173076923076923;-0.2240133767331524
Medium;0.378152436951261;-0.0985645933014354;-0.2949531099219038
Unknown;0.0417991640167196;0.4587251828631139;0.7210937088394146
Low;0.0771184576308473;0.6354816354816355;0.5868404758626233
Medium;0.8004639907201856;0.0890287769784172;-0.1071072718886335
Unknown;0.0033999320013599;-0.4609375;-1.2778617350429773
Low;0.5641087178256435;0.0842105263157894;0.1801445935715324
Unknown;0.5178696426071479;0.16;0.2852673225894593
High;0.0983180336393272;-0.1305970149253731;-0.5757981072776557
Unknown;0.8906621867562649;0.1012987012987013;-0.1273566724028235
Unknown;0.862662746745065;0.0;-0.0692540617355304
Unknown;0.8575428491430171;0.065359477124183;0.0435234610699852
High;0.6590668186636267;0.1351351351351351;0.1419822684449796
Low;0.4163116737665246;0.175;0.2889429481713285
Unknown;0.0919181616367672;-0.3111111111111111;-0.6052435652950942
High;0.5686686266274674;0.2857142857142857;0.1700440891478726
Low;0.4633107337853243;0.2108716026241799;-0.2651202165973487
Low;0.2940341193176136;0.1116071428571428;-0.2775163087571564
Unknown;0.6855862882742345;-0.1578947368421052;-0.1145371190469761
Unknown;0.1032779344413111;0.4444444444444444;0.7174479379327094
Unknown;0.2800743985120297;0.1241446725317693;0.3473048798976717
Medium;0.2002759944801104;-0.1909090909090909;-0.4021190613967805
High;0.5476690466190676;0.2961538461538461;-0.2710553063994435
Unknown;0.7204255914881702;-0.1928571428571428;-0.1130949628267226
Unknown;0.127477450450991;0.3261904761904762;0.5181676251910665
High;0.0751184976300474;0.2934472934472934;0.5201384994880236
Unknown;0.2783944321113578;0.270440251572327;0.4742768757836317
Unknown;0.123837523249535;-0.3;-0.5260829331229084
High;0.0065198696026079;0.3770992366412213;0.7885315328959985
Control;0.1958760824783504;0.0882694541231126;-0.3578080542826393
Medium;0.877062458750825;0.3839662447257383;-0.1047998647026726
High;0.0357592848143037;-0.1565656565656565;-0.5098433372212984
Unknown;0.8122237555248895;0.1377777777777777;0.104549953287864
Medium;0.0077198456030879;-0.2596153846153846;-0.7734907571958255
High;0.624507509849803;0.3362962962962963;0.1528190106766977
Unknown;0.0268794624107517;0.4924242424242424;0.835868160565709
Unknown;0.1633967320653586;-0.0148148148148148;0.6447033525118724
Medium;0.2946341073178536;-0.0476190476190476;-0.3157787721874753
High;0.883582328353433;0.1544117647058823;-0.0914796684610657
Unknown;0.6692666146677066;0.1224489795918367;0.1355644896311574
Unknown;0.4671506569868602;0.2578616352201258;0.266942328314751
Medium;0.8432231355372892;0.2337349397590361;0.0396308758320907
Medium;0.0100397992040159;0.5144230769230769;0.9340117341806372
Unknown;0.8495430091398172;-0.0098522167487684;-0.0949540987432792
Unknown;0.0040799184016319;-0.619482496194825;-1.0881010305490912
High;0.493110137797244;0.410377358490566;0.1985351360740137
High;0.0092398152036959;-0.2815808045165843;-0.6550070741709836
Unknown;0.9305013899722006;0.0211202938475665;0.016989614173068
High;0.0115197696046079;0.4283400809716599;0.8031835080343832
Unknown;0.0002399952000959;0.7413333333333333;1.1773158654524467
Medium;0.0069998600027999;-0.274818401937046;-0.6856172801944955
High;0.4536309273814524;0.2428571428571428;-0.3227584142688399
High;0.745905081898362;0.1380145278450363;0.0950431964356294
Unknown;0.1011979760404791;0.3202614379084967;0.7511105084685312
Unknown;0.3098738025239495;-0.1495601173020528;-0.3266906200030297
High;0.4274714505709885;0.3529411764705882;0.2849645567164878
Low;0.0036399272014559;0.5194805194805194;1.0725269252777072
High;0.0109997800043999;-0.5619047619047619;-0.8101737662372678
Unknown;0.1527969440611187;-0.1972789115646258;-0.6037633290510797
Unknown;0.0471990560188796;0.52;0.9235030404973544
Unknown;0.0353992920141597;0.6222222222222222;1.057789929992956
Unknown;0.9213415731685366;0.0298507462686567;-0.1931060640230739
High;0.6691466170676587;0.2181069958847736;-0.1920601421650118
High;0.5235095298094038;0.1319444444444444;-0.2758572465590823
Low;0.4436711265774684;0.198019801980198;-0.2538315040355186
Unknown;0.0005999880002399;-0.6382775119617224;-1.137622290462624
Unknown;0.0011599768004639;0.8364779874213837;1.8165523914242852
High;0.1263974720505589;-0.2207407407407407;-0.4886688451466806
High;0.245835083298334;0.6029055690072639;0.4931330218631791
Unknown;3.999920001599968e-05;0.6957328385899815;1.6449657521566354
Unknown;0.0007999840003199;0.4942396313364055;0.9258941001217176
High;0.0052398952020959;-0.2972350230414746;-0.7426949194333728
Unknown;0.6009479810403792;-0.0851063829787234;-0.2472244322326357
High;0.0891182176356472;-0.2607392607392607;-0.471675579259967
High;0.8034239315213696;0.4804318488529014;0.0445926797881002
Unknown;0.9319413611727766;0.0264550264550264;0.0467056406964438
Medium;0.0254794904101917;-0.4233766233766233;-0.7898825571550395
High;0.1540369192616147;0.3514739229024943;0.6503588939921556
High;0.5170696586068279;0.0378787878787878;-0.2708149414151951
Unknown;0.2155956880862382;-0.3148148148148148;-0.5410477767564671
Medium;0.1507969840603188;-0.1883289124668435;-0.4022583245276444
Unknown;0.2256754864902702;0.2415584415584415;0.4949383402926196
High;0.4334713305733885;0.1527777777777778;-0.3577152000824998
High;0.1402771944561108;-0.132716049382716;-0.4952517948389915
Unknown;0.1498770024599508;-0.2773109243697479;-0.504098860809866
High;0.0863182736345273;-0.4147465437788018;-0.703561405323872
Unknown;0.0053598928021439;-0.3934624697336562;-0.7892425676985205
High;0.2354352912941741;0.5882352941176471;0.3459018556248606
Unknown;0.0310793784124317;-0.3823953823953824;-0.676056214536342
High;0.4521509569808604;0.1377694470477975;-0.2926293196319394
Medium;0.7351052978940421;0.3040935672514619;-0.1527655946081912
Unknown;0.0079598408031839;-0.4612794612794613;-0.8101373417213416
High;0.5068698626027479;0.3155555555555555;0.3021259518523596
Low;0.0010799784004319;-0.6145833333333334;-1.162566287725935
Unknown;0.4310713785724285;0.2592592592592592;0.3182430894839583
Medium;0.0647187056258874;-0.0786163522012578;0.8839145456767185
Unknown;0.0103197936041279;-0.5545454545454546;-0.920028056618
Medium;0.1353572928541429;0.1723646723646723;-0.4339618125817921
Unknown;0.4597508049839003;-0.1578947368421052;-0.3000473646871396
High;0.2309553808923821;0.2653061224489796;0.3919361290667022
High;0.490030199396012;0.2744186046511628;-0.2657071430729976
High;0.1067978640427191;0.6477987421383647;0.7762007691573238
High;0.0029199416011679;-0.7090909090909091;-1.0528603625345478
Medium;0.8459430811383772;-0.0464310464310464;0.0458412767297008
Low;0.4128317433651327;-0.1103448275862069;-0.2894248652538458
High;0.3088338233235335;0.0980392156862745;-0.492562139391672
Unknown;0.5081498370032599;-0.0778164924506387;0.1294288332295343
High;0.0063598728025439;-0.286815415821501;-0.5754021550509716
High;0.5984680306393872;-0.0229885057471264;-0.2059836018746707
Medium;0.0007599848003039;-0.2888888888888888;-0.5967444092404623
Unknown;0.0782784344313113;-0.4285714285714285;-0.5786559272976786
Unknown;0.2037959240815183;-0.270509977827051;-0.4064339661981423
Unknown;3.999920001599968e-05;0.7779264214046823;1.562732425610457
High;0.0880382392352153;0.3283582089552239;0.5790706606013842
Unknown;0.124837503249935;0.3006993006993007;0.4528466819521345
High;0.0039199216015679;0.7037037037037037;1.2590096016546273
Low;0.0067998640027199;-0.3873239436619718;-0.9800976716964442
High;0.4405511889762205;-0.0555555555555555;-0.2440341024759872
High;0.5775484490310194;0.1689922480620155;-0.1796191754470124
Low;0.1725965480690386;0.025;-0.3440522036383855
Medium;0.8641827163456731;0.2612612612612612;0.0361617521244081
Unknown;0.9175016499670008;-0.1617224880382775;0.0184791078145936
High;0.4249515009699806;-0.1367521367521367;-0.5742426048563959
Low;0.3131937361252775;-0.0013262599469496;-0.3003776841604791
High;0.5775084498310034;0.2426966292134831;0.1630848067216646
Unknown;0.0011199776004479;-0.7200577200577201;-1.2919294998336193
High;0.0434791304173916;0.5915915915915916;0.8230789797403993
High;0.118477630447391;-0.0461538461538461;-0.562181633693032
Unknown;0.3353532929341413;-0.2836879432624113;-0.3592269090066232
Unknown;0.7880642387152257;0.1644444444444444;-0.2168341552870687
High;0.378512429751405;0.5898617511520737;0.343828920028429
Low;0.6613067738645227;0.4006968641114982;0.1012167072267453
Unknown;0.3399532009359813;-0.4831591173054588;-0.2725501754958929
Unknown;0.1924761504769904;0.4426229508196721;0.5381849744200934
High;0.6876262474750505;0.1666666666666666;0.129664306965113
Unknown;0.6512669746605068;0.0507936507936507;0.1267727254685788
Low;0.374952500949981;0.405152224824356;0.4414291313527758
High;0.1957960840783184;0.0055555555555555;-0.4626899670221336
Unknown;0.0083598328033439;0.4254594962559564;0.8061363916403229
Medium;0.372712545749085;0.3766233766233766;0.3065320620437949
Unknown;0.0198396032079358;0.6737588652482269;1.087606066277373
Unknown;3.999920001599968e-05;0.817925194071983;1.961620043579717
High;0.5680286394272115;0.3817330210772833;0.2053727795614101
High;0.1304373912521749;-0.1066666666666666;-0.4939236890394047
High;0.24907501849963;0.0672963400236127;0.3347449423490116
Medium;0.6082278354432912;0.4077901430842607;-0.150753840417551
High;0.0156796864062718;-0.424860853432282;-0.5413185658775895
Medium;0.0054798904021919;0.6666666666666666;1.1437781127222704
Medium;0.9721405571888562;0.3087557603686636;-0.0147915552882005
Medium;0.9734205315893684;0.2415254237288135;-0.0342137116310953
Medium;0.502709945801084;0.2368421052631578;-0.2671935066186268
Low;0.3641527169456611;0.0916666666666666;-0.3422819987972387
High;3.999920001599968e-05;-0.9574468085106383;-2.304967007655329
Unknown;0.3042739145217095;0.157051282051282;0.3171693238064985
High;0.3376732465350693;0.102112676056338;-0.3860542415325732
Unknown;0.7441451170976581;0.048;0.1465137281394408
High;0.8610227795444091;0.2649253731343283;-0.1174941064053767
High;0.5719885602287954;0.3873873873873873;0.1801603188509414
High;0.1575968480630387;-0.1403508771929824;-0.2575335498509019
High;0.0921181576368472;0.0146198830409356;-0.577115598727046
High;0.2798344033119337;-0.2131147540983606;-0.428719940400431
High;0.987980240395192;0.0714285714285714;-0.0530060496092966
Medium;0.8515429691406172;0.1654929577464788;-0.0915947351380798
High;0.4055918881622367;-0.0773558368495077;-0.3144768122682888
High;0.0064398712025759;0.6137931034482759;1.0505985670128628
High;0.7799444011119777;0.3644067796610169;0.0525493518809745
Medium;0.0001999960000799;-0.7585733882030178;-0.7064668362729334
High;0.8377432451350973;0.2507122507122507;0.0515822268266465
Medium;0.5935481290374193;0.5526315789473685;0.0893014097789622
High;0.0629187416251675;0.346031746031746;-0.4623321768462181
Low;0.98610027799444;0.1417142857142857;-0.0196666372770139
High;0.115917681646367;-0.1762589928057553;-0.3448653639848232
Medium;0.4355512889742205;0.1383399209486166;-0.3794889067762667
High;0.117237655246895;0.1062091503267973;-0.4495945500208622
Medium;0.3623927521449571;0.3770491803278688;0.324522467742342
Unknown;0.0029199416011679;0.6706349206349206;1.2630649648704837
