Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.620027599448011;0.2993197278911564;-0.076160834139801
Unknown;3.999920001599968e-05;0.7333333333333333;1.336154795188744
Unknown;0.1351572968540629;0.3866666666666666;0.6484916872015896
High;0.0040799184016319;-0.3428030303030303;-0.8457120859822336
Unknown;0.116517669646607;0.3316498316498316;0.4909147378035599
High;0.0056798864022719;-0.4498687664041995;-0.6898613075694549
Unknown;0.3020339593208135;0.3431372549019608;0.4425201049130098
High;0.0029599408011839;-0.3244147157190635;-0.6397626857039503
Low;3.999920001599968e-05;0.8679471788715486;2.0682254761043266
Unknown;0.7804243915121698;-0.071078431372549;-0.0669107918535328
Low;0.0167596648067038;0.5739348370927319;1.0491544780478783
Unknown;0.5437891242175157;0.1103448275862069;0.2049739582310059
High;0.0001199976000479;-0.7947761194029851;-1.049332725852105
Unknown;0.0088798224035519;0.5833333333333334;0.9633885634724938
High;0.7309853802923941;-0.0123456790123456;-0.1259887552863799
Unknown;0.3819123617527649;0.1979949874686716;0.3557913961291318
High;0.8339833203335933;0.0036175710594315;0.0550860619116781
Low;0.0002799944001119;0.593939393939394;1.0473613544131724
High;0.8629427411451771;0.3555555555555555;0.038278928179867
Unknown;7.999840003199936e-05;0.7923076923076923;1.492334437296437
Unknown;0.1935161296774064;0.2916666666666667;0.4726648045117627
Low;0.0005999880002399;0.5413105413105413;0.993196746331564
Unknown;0.997420051598968;-0.0133333333333333;0.0170242962947625
Unknown;0.0076398472030559;0.4401709401709401;0.7715063922270646
Unknown;0.1123977520449591;0.2737352737352737;0.4732436278717619
Unknown;7.999840003199936e-05;0.8531746031746031;1.6897535711384024
Medium;0.1359172816543669;-0.3514739229024943;-0.5959812775508992
Unknown;0.2239555208895822;-0.2067510548523206;-0.436796610018029
Unknown;0.0001599968000639;0.671604938271605;1.2379714512989848
High;0.2386752264954701;0.2654761904761905;-0.3299191888227526
Medium;0.120517589648207;-0.1504854368932038;-0.3786926245687617
High;0.1842363152736945;0.2120300751879699;0.3645449205658675
Unknown;0.8975420491590168;0.0444964871194379;-0.0489810604846488
Unknown;0.3168336633267334;0.1934156378600823;0.3547905108702511
High;0.123117537649247;0.5675675675675675;0.5948844287207111
Medium;0.0001199976000479;-0.7438423645320197;-1.0364329765831677
High;0.4215915681686366;0.2258064516129032;-0.2666764050791316
High;3.999920001599968e-05;0.806930693069307;1.7074515999122686
High;0.1534369312613747;0.3537414965986394;0.6532142148488259
Unknown;0.0003199936001279;0.7843137254901961;2.1058653723055736
High;3.999920001599968e-05;0.8321428571428572;1.3777939137091837
Unknown;0.1639967200655986;0.3559322033898305;0.5631125327087589
Unknown;0.5845883082338353;0.1022222222222222;0.1941414740089168
Unknown;0.0743985120297594;-0.4624697336561743;-0.7525644569475562
Unknown;0.0024799504009919;0.634090909090909;1.084000021722248
High;0.3025939481210375;0.3955555555555555;0.5014289972467654
Unknown;0.0006799864002719;0.601025641025641;0.96698387299919
Unknown;0.5214295714085718;0.2361111111111111;0.2375343684132796
High;0.5793484130317393;0.4635294117647058;0.17495875011252
High;0.115637687246255;0.3741496598639456;0.6630728183158041
Unknown;0.738585228295434;-0.059985885673959;-0.0993201770934445
Low;0.0103997920041599;0.6287878787878788;0.9252053759816092
Low;0.0003599928001439;0.8461538461538461;1.8965272180903685
High;0.0825552825552825;0.6972477064220184;1.2982398114383664
Unknown;0.0084398312033759;0.4251748251748252;0.7516985454398412
High;0.1535569288614227;-0.1476997578692493;-0.5622276911038682
Unknown;7.999840003199936e-05;0.8152173913043478;1.5912036525919568
Unknown;0.0173596528069438;0.4776470588235294;0.7673462161206143
High;3.999920001599968e-05;0.9090909090909092;2.700086939875697
Medium;0.5848283034339313;0.0679012345679012;-0.2520891381029642
High;0.0075598488030239;-0.3581560283687943;-0.7583275386210457
Unknown;0.0022399552008959;0.4988662131519274;0.8849605064574019
High;0.5627087458250835;0.0039682539682539;0.2037610810676291
Unknown;3.999920001599968e-05;0.6415441176470589;1.1807558912901028
Control;0.8817023659526809;0.0482758620689655;0.0313026447025395
High;0.0653186936261274;-0.3237179487179487;-0.5271201763469496
Medium;0.0014799704005919;-0.6075036075036075;-0.9704505976099572
Unknown;0.0043199136017279;0.7013888888888888;1.2950607459298904
Unknown;0.5009189640768588;0.2352941176470588;0.3842724086338354
High;0.8005039899202016;0.2679127725856697;0.0645976723659012
Low;0.0022399552008959;-0.5709876543209876;-0.9063201345142782
Unknown;0.4023501184287428;-0.2738095238095238;-0.5113065834089645
High;0.7730245395092098;-0.2312925170068027;-0.1485480263081758
Unknown;0.0257594848103037;0.5467980295566502;0.9009547893790136
Unknown;3.999920001599968e-05;0.7888888888888889;1.577329854174386
Unknown;0.0880782384352313;-0.4185463659147869;-0.6859593422521437
High;0.0695986080278394;-0.0717703349282296;-0.5829329996414904
Medium;0.5363492730145397;-0.5407407407407407;-0.2543743376360998
High;0.2668746625067498;-0.1434343434343434;-0.355612904739879
Unknown;0.9096218075638488;-0.0448717948717948;0.0569422342118384
