Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.5313493730125397;0.1836734693877551;0.2805830685734684
Unknown;0.0002799944001119;-0.7407407407407407;-1.4179339117440743
Unknown;0.0756384872302553;-0.5533333333333333;-0.8680289976499059
High;0.2243555128897422;0.2575757575757575;0.3932924830102742
Unknown;0.7697046059078818;-0.1111111111111111;-0.0833248478885205
High;0.4655506889862202;0.0194225721784776;0.2063613722758495
Unknown;0.7351852962940741;0.1470588235294117;0.2112822843372655
High;0.7814243715125697;0.0180602006688963;-0.0882496274897713
Low;0.0001599968000639;-0.680672268907563;-1.2472738950073827
Unknown;0.0025599488010239;-0.375;-0.9678797900578092
Low;0.7023859522809544;-0.012531328320802;0.1769827499300899
Unknown;0.8822623547529049;0.1379310344827586;-0.0217003830740747
High;0.0481190376192476;-0.5223880597014925;-0.712811260454598
Unknown;0.0243995120097598;0.5123456790123457;0.778105251810022
High;0.8714225715485691;0.0339506172839506;-0.0610435167645527
Unknown;0.6875862482750345;-0.1528822055137844;-0.1531303404073723
High;0.124637507249855;0.2516795865633074;0.3813858686309674
Low;0.1285974280514389;0.2626262626262626;0.3972095891787447
High;0.123437531249375;-0.26;-0.4794291391344669
Unknown;0.0014399712005759;-0.6846153846153846;-1.3445802998152796
Unknown;0.0002799944001119;0.7523148148148148;0.9608248120623808
Low;0.9115817683646328;0.0099715099715099;-0.008627545190167
Unknown;0.9418611627767444;0.1022222222222222;0.05493378630211
Unknown;0.624147517049659;0.0185185185185185;0.1598178591948207
Unknown;0.120517589648207;0.3056133056133056;0.4521458939494113
Unknown;0.2139557208855823;0.2182539682539682;0.468704676648113
Medium;0.0016799664006719;0.6507936507936508;1.2548857586942133
Unknown;0.1407571848563028;-0.2545710267229255;-0.546414236065281
Unknown;0.3857922841543169;0.1604938271604938;0.2968868492332716
High;0.4018719625607488;-0.1809523809523809;-0.2359622304678301
Medium;7.999840003199936e-05;-0.7605177993527508;-1.482427203860489
High;0.1864362712745745;0.0436090225563909;-0.3821678785196897
Unknown;0.9366612667746644;0.0538641686182669;0.015362296770644
Unknown;0.9529409411811764;0.0205761316872428;-0.0064140018616597
High;0.0146397072058558;-0.5375375375375375;-0.9134676167690062
Medium;3.999920001599968e-05;-0.9458128078817734;-2.317878277591626
High;0.3281934361312774;-0.1964809384164222;-0.3121987710319016
High;0.2170756584868302;-0.2821782178217821;-0.3826696786603143
High;0.7639047219055619;-0.0068027210884353;-0.1010376315205192
Unknown;0.241755164896702;-0.4640522875816993;-0.5053976681551607
High;0.0240395192096158;-0.525;-0.8893596756057682
Unknown;0.0273194536109277;-0.4818401937046004;-0.967010928717463
Unknown;0.2309553808923821;-0.4992592592592592;-0.4352982203251903
Unknown;0.1475970480590388;0.3026634382566586;0.562965784428714
Unknown;0.0034399312013759;-0.5909090909090909;-1.0491190177518026
High;0.2549149017019659;0.2266666666666666;0.5143836439433677
Unknown;0.5175896482070359;-0.1743589743589743;-0.111847978564497
Unknown;0.1487570248595028;0.2743055555555556;0.5241457364541353
High;0.1338773224535509;-0.2235294117647059;-0.500707148008396
High;0.0001999960000799;-0.800453514739229;-1.740168644448532
Unknown;3.999920001599968e-05;0.7981651376146789;0.9675149593707968
Low;0.502469950600988;-0.1912878787878787;-0.1298080301734094
Low;0.1031579368412631;-0.4166666666666667;-0.7174049568239874
High;0.114004914004914;-0.8256880733944955;-1.414626737837808
Unknown;0.4483510329793404;0.0769230769230769;0.2300577212602106
High;0.984260314793704;-0.0266343825665859;0.0332152630643578
Unknown;0.0545189096218075;-0.4130434782608695;-0.7423996332000108
Unknown;0.1575968480630387;0.2517647058823529;0.4613472985652571
High;7.999840003199936e-05;-0.8787878787878788;-1.8943804028731648
Medium;0.4616707665846683;-0.3333333333333333;-0.3015965156596628
High;0.5107497850042999;0.3386524822695035;0.2123451469729255
Unknown;0.1837563248735025;-0.2732426303854875;-0.3836725231416689
High;0.9237815243695128;0.1507936507936507;0.0722370828197203
