Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.1844363112737745;-0.3877551020408163;-0.6003260468855799
Unknown;0.0001199976000479;0.7703703703703704;1.0486493907890784
Unknown;0.0532389352212955;0.4666666666666667;0.7253758932682424
High;0.8097838043239135;-0.2481060606060606;-0.0563184820769641
Unknown;0.1466770664586708;-0.1313131313131313;-0.4843859200799542
High;0.9409011819763604;-0.0288713910761154;0.024390745406821
Unknown;0.497270054598908;-0.2058823529411764;-0.2940540073189998
High;0.8505429891402172;-0.2749163879598662;0.0928690165680975
Low;0.0004399912001759;0.5570228091236494;0.9778815515779206
Unknown;0.5823083538329233;-0.0367647058823529;-0.136498046977782
Low;0.5209895802083958;-0.1177944862155388;-0.2658723615853808
Unknown;0.6813463730725385;-0.1448275862068965;-0.1312421606086332
High;0.1640367192656147;0.2611940298507462;0.4579048469866774
Unknown;0.0076398472030559;-0.4598765432098765;-1.0765846661232483
High;0.5741485170296594;0.0833333333333333;0.2128351981503663
Unknown;0.116677666446671;0.3634085213032581;0.5962904987637134
High;0.242115157696846;-0.2713178294573643;-0.3272417691037162
Low;0.1935561288774224;0.0313131313131313;0.3474274263792482
High;0.0923581528369432;0.2666666666666666;0.4404747067177786
Unknown;0.0008799824003519;0.6846153846153846;0.8300578499832972
Unknown;0.0047999040019199;-0.7453703703703703;-1.2357791277262558
Low;0.4731105377892442;-0.2122507122507122;-0.1780783094416991
Unknown;0.3335533289334213;-0.1733333333333333;-0.4573727227521885
Unknown;0.0063198736025279;0.49002849002849;0.7101189904766304
Unknown;0.8286634267314654;-0.088011088011088;-0.0502787704423738
Unknown;0.3627127457450851;-0.3611111111111111;-0.3422223179796931
Medium;0.0111997760044799;-0.4829931972789115;-1.0574339913068571
Unknown;0.5757484850302994;0.1617440225035162;0.2207294065354261
Unknown;0.7387852242955141;-0.145679012345679;-0.0984941025388823
High;0.5351892962140757;0.1261904761904762;0.182151415495884
Medium;7.999840003199936e-05;0.7524271844660194;1.3407155146873648
High;0.74662506749865;-0.1077694235588972;-0.0737976327487115
Unknown;0.5676286474270514;0.1194379391100702;-0.2016547505295571
Unknown;0.0320793584128317;-0.355281207133059;-0.8060554155738093
High;0.0046799064018719;0.5645645645645646;1.0283729474765384
Medium;3.999920001599968e-05;0.9507389162561576;1.3170326641971972
High;0.1358372832543349;0.2375366568914956;0.4113652964404418
High;0.0588388232235355;0.3481848184818482;0.5191387147162462
High;0.4250314993700126;0.1972789115646258;0.3469909531767388
Unknown;0.2012359752804944;0.4052287581699346;0.4114879230767253
High;0.0256394872102557;0.5071428571428571;0.7791378967819795
Unknown;0.0025199496010079;0.6658595641646489;1.1700017440117716
Unknown;0.6735865282694347;0.0607407407407407;0.1652437471884476
Unknown;0.8508229835403291;-0.0556900726392251;-0.052475450258355
Unknown;0.0017599648007039;0.5727272727272728;0.9766646225562678
High;0.8243435131297374;-0.0666666666666666;-0.113677824193872
Unknown;0.5486690266194676;-0.0758974358974359;0.1732184289948241
Unknown;0.0791184176316473;-0.4895833333333333;-0.696911387128697
High;0.0371992560148797;0.2141176470588235;0.6454165208744894
High;0.0011599768004639;0.6870748299319728;1.1363536184715128
Unknown;7.999840003199936e-05;-0.8249823570924488;-1.6358795946541949
Low;0.0601587968240635;0.4109848484848485;0.5864194217715554
Low;0.3943921121577568;0.1923076923076923;0.3807112134474529
High;0.0275184275184275;0.8807339449541285;1.4609597302187682
Unknown;0.6771464570708586;-0.0727272727272727;-0.1077120666224815
High;0.8609027819443611;-0.0314769975786924;0.0861940555601126
Unknown;0.0385592288154236;0.4384057971014493;0.6203664097846716
Unknown;0.499590008199836;-0.1247058823529411;-0.2205250716955187
High;3.999920001599968e-05;0.9318181818181818;1.5051493672168443
Medium;0.5178696426071479;0.1296296296296296;0.2764322147404813
High;0.119197616047679;-0.2890070921985815;-0.4762017981945911
Unknown;0.367512649747005;0.2811791383219955;0.2543653019795025
High;0.8264234715305694;0.0357142857142857;-0.0938264175980999
Unknown;0.6505469890602188;-0.1544117647058823;0.1439436064347987
Control;0.0027999440011199;-0.5402298850574713;-1.062454055647868
High;0.0005999880002399;-0.4038461538461538;-1.377686950629973
Medium;0.4911901761964761;0.0303030303030303;0.2607814575704941
Unknown;0.4564708705825883;0.2083333333333333;0.3263928140018363
Unknown;0.0310776942355889;-0.7352941176470589;-1.3725066689861152
High;0.0579588408231835;0.3582554517133956;0.5485121615276982
Low;0.0841983160336793;0.2469135802469135;0.5961795120579311
Unknown;0.8437048202036359;-0.0714285714285714;-0.0981631966987844
High;0.99490010199796;-0.0816326530612244;0.1367739217883332
Unknown;0.8135037299254015;-0.0098522167487684;-0.0806699851166983
Unknown;7.999840003199936e-05;-0.8185185185185185;-2.218732591294741
Unknown;0.0023199536009279;-0.7744360902255639;-1.3581760570042656
High;0.248795024099518;0.1138755980861244;0.3671191064537977
Medium;0.2245555088898222;-0.2325925925925926;-0.4348268276571339
High;0.6805463890722185;-0.3696969696969697;-0.0519376814488428
Unknown;0.6156276874462511;0.0448717948717948;0.2630084117172597
Medium;0.0371592568148637;0.3875598086124402;0.635790607089942
Unknown;0.5665086698266034;0.122257053291536;0.1992653360566378
Low;7.999840003199936e-05;0.7283437283437283;1.331938386706365
Medium;0.2842343153136937;-0.224820143884892;-0.286094197751036
Unknown;0.1113977720445591;-0.4921875;-0.6516072288801744
Low;0.4881502369952601;0.2684210526315789;0.2008695528399328
Unknown;0.3503529929401412;-0.3333333333333333;-0.396636400003115
High;0.2860342793144137;0.167910447761194;0.4024746791541705
Unknown;0.25007499850003;0.2155844155844155;0.4251528933941408
Unknown;0.7826643467130657;-0.073076923076923;-0.0667487790434581
Unknown;0.2331953360932781;-0.2107843137254902;-0.3648333269638158
High;0.24507509849803;-0.3063063063063063;-0.4235578908266036
Low;0.0056798864022719;-0.5972222222222222;-1.0080597938295344
Unknown;0.0163196736065278;0.4888888888888889;0.6864100179948538
High;0.2570348593028139;-0.3376623376623376;-0.3669191894383523
Low;0.6847463050738986;-0.0477975632614807;-0.0691950255569999
Low;3.999920001599968e-05;-0.5875;-1.598339078106495
Unknown;0.4053918921621567;0.0499325236167341;0.251243906737975
Unknown;0.9080218395632088;-0.0308641975308641;0.0816883955922093
Unknown;0.1331573368532629;-0.3255131964809384;-0.5044302133106615
Medium;0.1327973440531189;0.3613636363636364;0.4912242708798935
High;0.0307993840123197;0.2807692307692307;0.8946816474689342
Unknown;0.2930741385172296;-0.2738095238095238;-0.3597479168914819
Unknown;0.2071558568828623;-0.238095238095238;-0.4228993019805722
High;0.117997640047199;0.3247863247863248;0.4522826839485269
Unknown;0.0284794304113917;0.5157232704402516;0.6991899449255218
Unknown;0.9659406811863764;-0.0525;0.0528532675625236
High;0.0435591288174236;-0.2234096692111959;-0.5979791178102226
Control;0.1695566088678226;-0.1091753774680604;-0.4021847158733339
Medium;7.999840003199936e-05;0.6258790436005626;1.1581196825483118
High;0.6373472530549389;0.2161616161616161;0.1393722666655926
Unknown;0.0076398472030559;-0.6711111111111111;-1.6411030597192888
Medium;0.9067018659626808;0.0137362637362637;0.0379326361917751
High;0.98270034599308;0.1022222222222222;0.048780915695357
Unknown;0.1811163776724465;0.2727272727272727;0.4785370366394844
Unknown;0.0013199736005279;-0.6592592592592592;-1.8825326720906488
Medium;0.2038759224815503;0.1011904761904761;0.3443866040602233
High;0.0085998280034399;-0.5992647058823529;-1.042754778913861
Unknown;0.1942761144777104;-0.1836734693877551;-0.5752904664814373
Unknown;0.873062538749225;-0.1132075471698113;0.00034693806817
Medium;0.0225195496090078;-0.4072289156626506;-0.7057077840268093
Medium;0.0011999760004799;0.5641025641025641;0.6716591951905455
Unknown;0.0008799824003519;-0.5665024630541872;-2.02153834344388
Unknown;0.0609987800243995;-0.2663622526636225;-0.7325237970984201
High;0.3928321433571328;0.1635220125786163;0.2634771731796421
High;0.9483410331793364;-0.0910374029640084;-0.0066554342661096
Unknown;0.0157596848063038;0.4306703397612488;0.6920819077616549
High;0.124717505649887;-0.3522267206477733;-0.4643709503563877
Unknown;0.0511589768204635;-0.4506666666666666;-0.6990894217987219
Medium;0.3334733305333893;-0.4261501210653753;-0.2621535334567216
High;0.3291934161316773;-0.1380952380952381;-0.354225673716643
High;0.3601527969440611;0.3753026634382566;0.3535060217957232
Unknown;0.5615087698246035;0.0784313725490196;0.2739074131944168
Unknown;0.6598268034639307;-0.1867057673509286;-0.0862161334634737
High;0.5530289394212116;0.3272058823529412;0.2382871416397562
Low;0.0784784304313913;0.3432282003710575;0.5481935724637933
High;0.0278794424111517;-0.680952380952381;-0.9262068886099764
Unknown;0.8221835563288734;0.0657596371882086;0.1000745386123649
Unknown;0.2070758584828303;-0.24;-0.591078930145753
Unknown;0.4707505849883002;0.1333333333333333;0.3349265627262573
Unknown;0.4713505729885402;0.167910447761194;0.2766367035990929
High;0.0636387272254555;0.3443072702331962;0.516280140639183
High;0.0009199816003679;0.6111111111111112;0.8986383689453715
Low;0.0480390392192156;0.3514851485148514;0.4750733125027856
Unknown;0.7011859762804744;-0.4028708133971292;-0.1016393718620377
Unknown;0.0070398592028159;0.6477987421383647;1.1228907479760866
High;0.3196736065278694;0.1585185185185185;0.3521493419039193
High;3.999920001599968e-05;-0.8789346246973365;-2.6996021803006127
Unknown;0.0001199976000479;-0.575139146567718;-1.521405172443059
Unknown;0.124957500849983;0.2684331797235023;0.4031724840558053
High;0.0278794424111517;0.152073732718894;0.5637752384591707
Unknown;0.1857162856742865;-0.5460992907801419;-0.6142107007494393
High;0.5198696026079478;0.0109890109890109;0.2148468132056814
High;0.5925081498370033;-0.1228070175438596;-0.1519846434366238
Unknown;0.9859402811943762;-0.0476190476190476;0.0171393188586697
Medium;0.0017599648007039;0.6519480519480519;0.6317635601133262
High;0.8507429851402972;0.0430839002267573;0.0240725668414394
High;0.2847543049139017;0.0909090909090909;0.4280128542526126
Unknown;0.3027139457210855;-0.5123456790123457;-0.4408929242997276
Medium;0.0006799864002719;-0.5318302387267905;-1.0785377481416965
Unknown;0.9391812163756724;0.0233766233766233;0.0494442452297093
High;0.248635027299454;-0.3263888888888889;-0.5010689275781409
High;0.4347913041739165;-0.1296296296296296;-0.2814905102050377
Unknown;0.751464970700586;0.0532212885154061;0.1495276481596635
High;0.0819983600327993;-0.1889400921658986;-0.7476493660118811
Unknown;0.5875882482350353;0.1694915254237288;0.1604293056474351
High;0.7522649547009059;-0.2142064372918979;-0.0715871234821084
Unknown;0.0004399912001759;0.6911976911976911;1.1401041985370848
High;3.999920001599968e-05;0.7544517338331771;1.4332295045694357
Medium;0.0301993960120797;0.2865497076023391;0.5832514084355531
Unknown;0.117677646447071;-0.2760942760942761;-0.5271586989070057
High;0.2674746505069899;-0.2533333333333333;-0.5331657313460885
Low;0.2890342193156137;-0.2465277777777778;-0.2968776803830878
Unknown;0.0071598568028639;-0.7037037037037037;-1.2798051472834977
Medium;0.5605487890242196;-0.1336477987421383;-0.1694929355333453
Unknown;0.0001999960000799;0.7090909090909091;0.9189025509887084
Medium;0.0034399312013759;0.6410256410256411;0.7494120076970723
Unknown;0.0054398912021759;-0.6491228070175439;-1.3463567850419045
High;0.0586788264234715;-0.4063079777365491;-0.6829693223643438
High;0.1849563008739825;0.2488372093023255;0.425246450136779
High;0.0004799904001919;-0.89937106918239;-2.1111364205220324
High;7.999840003199936e-05;0.8337662337662337;1.2619508914595996
Medium;0.0710785784284314;-0.2293832293832294;-0.5419258013861392
Low;0.0157596848063038;0.2758620689655172;0.6588241543337456
High;0.8820623587528249;-0.2875816993464052;-0.0016143157917173
Unknown;0.0279194416111677;-0.3368176538908246;-0.6635327216293591
High;0.1012779744405111;0.0620689655172413;0.4083731514793653
High;0.9192616147677046;0.0459770114942528;-0.0104516002514556
Medium;0.0074398512029759;0.4025839793281653;0.6459034844004113
Unknown;0.0875982480350393;0.412987012987013;0.6662670931864089
Unknown;0.3156336873262534;-0.2549889135254989;-0.3283330759182983
Unknown;0.4825903481930361;0.2481605351170568;0.2127026086910063
High;0.0013199736005279;0.6604477611940298;1.052395374412756
Unknown;0.123397532049359;-0.337062937062937;-0.4951684142803436
High;0.6659866802663946;0.0814814814814814;0.2051379871570013
Low;0.0059998800023999;0.5845070422535211;0.8221356098043441
High;0.8047439051218975;-0.0262345679012345;-0.0532163641484339
High;0.0129997400051998;0.3819121447028424;0.6365927302280338
Low;0.0789584208315833;0.2857142857142857;0.4331926785560582
Medium;0.2205555888882222;0.2012012012012012;0.4116385835666634
Unknown;0.0815583688326233;0.3569377990430622;0.5606129689997735
High;0.0746785064298714;-0.4786324786324786;-1.3344062025460284
Low;3.999920001599968e-05;-0.8342175066312998;-1.7224809734353066
High;0.0182796344073118;-0.3955056179775281;-0.8649397534645121
Unknown;0.500309993800124;-0.0418470418470418;-0.2232971344870171
High;0.0004399912001759;-0.5105105105105106;-1.7280549319326388
High;0.5656286874262515;-0.2307692307692307;0.2633920620841279
Unknown;0.0029199416011679;0.7092198581560284;1.139602051253304
Unknown;0.6925861482770345;-0.0488888888888888;-0.1667645166072432
High;0.7815043699126017;-0.0368663594470046;-0.0844003292697176
Low;3.999920001599968e-05;0.8548199767711963;0.8941878940584372
Unknown;0.4047519049619008;-0.1265969802555168;-0.2279965025810315
Unknown;0.2762744745105098;0.2412177985948477;0.4195781014764955
High;0.9727005459890802;-0.0466666666666666;0.0135993092573548
Unknown;0.2729945401091978;-0.2857142857142857;-0.3014254116764773
Low;0.6758264834703306;-0.1334894613583138;-0.1522269030533919
High;0.2069558608827823;-0.1527777777777778;-0.4457529490166263
Unknown;0.1527569448611027;-0.1218515997277059;0.4069658972912479
Medium;0.9722205555888882;-0.0649350649350649;0.0365451211309013
Unknown;0.7917841643167136;-0.1418439716312056;0.0314001686548415
Unknown;0.0098398032039359;-0.5412844036697247;-0.8239311264060957
High;0.115517689646207;-0.2786885245901639;-0.7014771476285518
High;0.6495470090598188;0.0333333333333333;0.164084296980282
