Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0369992600147997;0.4353741496598639;1.1124209683306336
Unknown;0.0058798824023519;0.5358024691358024;0.8408614626495411
Unknown;0.755504889902202;0.2733333333333333;0.1510374789811697
High;0.5397892042159157;-0.2196969696969697;0.2130877245432791
Unknown;0.500509989800204;-0.2457912457912457;-0.2039954877574275
High;0.115117697646047;0.1328083989501312;0.4231466176986575
Unknown;0.0361592768144637;0.5833333333333334;0.8132303295643469
High;0.1977160456790864;-0.2949832775919732;-0.3896928783651993
Low;3.999920001599968e-05;0.7274909963985594;1.255064818685529
Unknown;0.0193996120077598;0.4354575163398693;0.6041918037463463
Low;0.3176736465270695;0.238095238095238;0.4035714700845326
Unknown;0.0255994880102397;0.3931034482758621;0.7177020692277444
High;0.8315433691326174;-0.1828358208955224;-0.0243390095034435
Unknown;0.6963060738785224;-0.0339506172839506;0.1464471278115514
High;3.999920001599968e-05;0.8672839506172839;1.541583655886194
Unknown;0.0010799784004319;0.7192982456140351;1.2454147587239737
High;0.3273934521309574;0.0801033591731266;0.2656475959009967
Low;3.999920001599968e-05;0.802020202020202;1.476132858198894
High;0.0170796584068318;0.3577777777777777;0.6680322464355458
Unknown;0.5436291274174516;0.0;-0.2156710445901991
Unknown;7.999840003199936e-05;0.7951388888888888;1.2768538819165598
Low;0.0133597328053438;0.4829059829059829;0.7556580716140097
Unknown;0.377752444951101;-0.36;-0.4084288022726244
Unknown;0.4445511089778204;-0.0384615384615384;0.2278438660750991
Unknown;0.0441591168176636;-0.3319473319473319;-0.6317626892887706
Unknown;0.4018719625607488;0.1805555555555555;0.3120699073545602
Medium;0.0931581368372632;-0.6009070294784581;-0.659488223303825
Unknown;0.8577428451430972;-0.0112517580872011;-0.0502805234856616
Unknown;0.5155896882062359;0.0962962962962963;-0.2101280864886614
High;0.0128797424051518;0.3422619047619047;0.6332298012783553
Medium;0.4623907521849563;-0.0032362459546925;0.2345075463874728
High;0.2265954680906381;0.1152882205513784;0.3265616243114486
Unknown;0.5980280394392112;-0.2365339578454332;-0.2460640548589155
Unknown;0.2721545569088618;0.130315500685871;0.3905287741532529
High;0.0259594808103837;0.4414414414414414;0.7636104902910358
Medium;0.0829183416331673;0.4926108374384236;0.6967421641035078
High;0.8144637107257855;-0.396871945259042;-0.0373604536797924
High;0.0019599608007839;0.3877887788778877;0.8312000494700938
High;0.9442211155776884;-0.1394557823129251;-0.0016410565752842
Unknown;0.0984380312393752;0.4542483660130719;0.672695657476781
High;0.747785044299114;-0.1678571428571428;-0.0169227916799164
Unknown;0.0343593128137437;0.5690072639225182;1.0571835325508194
Unknown;0.0048799024019519;0.6385185185185185;1.021016773680704
Unknown;0.1396372072558548;0.3414043583535109;0.6008912941318306
Unknown;0.1338373232535349;0.2693181818181818;0.4899867386213716
High;0.1901961960760785;0.3066666666666666;0.5996658105362808
Unknown;0.0012399752004959;0.5225641025641026;0.7788909435438982
Unknown;0.0040399192016159;0.5520833333333334;1.1273129619567015
High;0.4473110537789244;0.0258823529411764;0.2657487998421516
High;0.0005999880002399;0.7052154195011338;0.8637626257872489
Unknown;3.999920001599968e-05;0.803105151729005;1.1337369526496055
Low;0.0029999400011999;0.6856060606060606;0.7720346139879357
Low;0.5848683026339473;-0.4358974358974359;-0.2181208329547622
High;0.1215397215397215;-0.4770642201834862;-1.3494149191517153
Unknown;0.0011599768004639;0.5916083916083916;0.7741070514151133
High;0.4429111417771644;-0.1283292978208232;-0.294670005733227
Unknown;0.0024799504009919;0.6068840579710145;0.924916017079795
Unknown;0.3837523249535009;0.1635294117647059;0.2948358905839721
High;3.999920001599968e-05;0.8787878787878788;1.087043768895808
Medium;0.0761584768304634;0.4012345679012346;0.6675174070299651
High;0.8533029339413212;0.0992907801418439;0.0690843082870478
Unknown;0.5224295514089718;0.1729024943310657;0.1874763611636503
High;0.8579428411431771;-0.0634920634920634;0.0769187277056168
Unknown;0.7322653546929061;0.0124080882352941;0.1011512091805811
Control;0.2761944761104778;-0.2781609195402298;-0.363671963288966
High;0.0452790944181116;-0.358974358974359;-0.6948397992845466
Medium;0.0219195616087678;0.6940836940836941;0.9436860935781168
Unknown;0.1052778944421111;0.4930555555555556;0.7256652642359527
Unknown;0.3271512113617377;0.3823529411764705;0.5619844017084099
High;0.1851962960740785;0.10202492211838;0.3765575174497614
Low;0.0054398912021759;0.529320987654321;0.9330377522857124
Unknown;0.6094312344273893;0.1428571428571428;0.3405360491505828
High;0.0151596968060638;-0.4149659863945578;-1.2113520673611575
Unknown;0.491270174596508;0.0738916256157635;0.2657156557723942
Unknown;0.0973580528389432;0.2347222222222222;0.4197574897988416
Unknown;0.8155036899262015;0.1478696741854636;0.0636637870137869
High;0.0165196696066078;0.4181818181818181;0.7072092325934726
Medium;0.1565168696626067;-0.7037037037037037;-0.5786715543173127
High;3.999920001599968e-05;0.6717171717171717;0.9620621988740006
Unknown;0.8187036259274815;0.0641025641025641;-0.0715424045026072
Medium;0.1738765224695506;0.308133971291866;0.4398823687826069
Unknown;0.0227195456090878;-0.4921630094043887;-0.7984413373716577
Low;0.4550308993820123;-0.1434511434511434;0.2448339520921807
Medium;0.0424791504169916;0.2792266187050359;0.5397136868831436
Unknown;0.8629027419451611;0.10546875;-0.0667456487056327
Low;3.999920001599968e-05;0.7605263157894737;0.9121133974750416
Unknown;0.7929441411171777;-0.16;-0.1191278208834801
High;0.0810783784324313;0.291044776119403;0.6419931192677091
Unknown;0.3021939561208775;-0.1896103896103896;-0.4161201150308029
Unknown;0.0858782824343513;-0.3865384615384615;-0.6704647172958224
Unknown;0.0697986040279194;0.3284313725490196;0.5989858249693976
High;0.0143197136057278;-0.5165165165165165;-0.9370412047318346
Low;0.0006799864002719;0.7055555555555556;1.1101708881274253
Unknown;0.0322793544129117;-0.2152777777777778;-0.8644361162506774
High;0.0103197936041279;0.4359925788497217;0.8916179886428857
Low;0.0039599208015839;-0.3214620431115276;-1.1012061927510464
Low;0.0005999880002399;0.5464285714285714;0.9338652401963474
Unknown;0.0013999720005599;0.4622132253711201;0.9017926030488306
Unknown;0.74662506749865;0.3055555555555556;0.1561248879254274
Unknown;0.0041999160016799;-0.3157380254154447;-1.0120207937990378
Medium;0.0006799864002719;0.6454545454545455;1.0719222325141589
High;0.0159196816063678;0.4346153846153846;1.0240172369394278
Unknown;0.9380612387752244;-0.0630952380952381;0.0445416727851503
Unknown;0.7587848243035139;0.1476190476190476;0.119804906412884
High;0.0737985240295194;0.2371794871794871;0.5060579437101755
Unknown;7.999840003199936e-05;0.9245283018867924;1.016435056401911
Unknown;0.0672386552268954;0.38875;0.574797108687337
High;0.0172796544069118;0.4310432569974555;0.671598086038478
Control;0.7764644707105858;0.0336817653890824;0.0788281837032536
Medium;0.0565988680226395;0.2475386779184247;0.5890420882218289
High;0.2827943441131177;0.0262626262626262;0.2936761035025385
Unknown;0.1557168856622867;-0.2088888888888889;-0.7256180185837589
Medium;0.0158396832063358;0.382554945054945;0.5960461147568766
