Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.625147497050059;0.1527777777777778;0.2914915440650685
Unknown;0.5872282554348913;-0.1395061728395061;-0.2900039894809302
Unknown;0.2929941401171976;0.3066666666666666;0.5579886659703324
High;1.0;0.0200956937799043;0.0085393343345175
Unknown;0.2899142017159656;0.2171717171717171;0.3873298349352185
High;0.2628347433051339;-0.1338582677165354;-0.4127530351225333
Unknown;0.116357672846543;-0.3970588235294117;-0.7620007620011431
High;0.1419971600567988;-0.2575250836120401;-0.5189353064237132
Low;0.0018399632007359;-0.4471788715486194;-0.8360493859588962
Unknown;0.2183556328873422;0.2246732026143791;0.3556897205908115
Low;1.0;0.0;
Unknown;0.7105857882842344;0.0241379310344827;0.181810273757294
High;1.0;-0.0746268656716417;-0.2476866207426851
Unknown;0.874022519549609;-0.0952380952380952;-0.3419927840283846
High;0.0097998040039199;0.5138888888888888;1.083711667863507
Unknown;0.3206735865282694;-0.2456140350877192;-0.5612447183547323
High;1.0;0.0537467700258397;0.002312514318396
Low;0.3861122777544449;-0.1313131313131313;-0.2940767133250769
High;1.0;-0.0466666666666666;-0.1582148175115224
Unknown;1.0;0.0457317073170731;0.0658333547935925
Unknown;1.0;0.046875;0.1674660317642709
Low;0.0208395832083358;-0.3368945868945869;-0.6747269842662788
Unknown;0.1747565048699026;-0.5333333333333333;-0.7576923284180224
Unknown;0.6429471410571789;-0.0876068376068376;-0.2000598761513669
Unknown;0.0096398072038559;-0.3957033957033957;-0.7722747970873096
Unknown;1.0;-0.1051587301587301;-0.0595032805321577
Medium;1.0;-0.0571428571428571;-0.1423496558434325
Unknown;0.2734345313093738;0.2390998593530239;0.4806206335933464
Unknown;0.8831823363532729;-0.0641975308641975;-0.1598932775291409
High;0.2547549049019019;-0.2166666666666666;-0.3973216877243996
Medium;0.8989020219595608;-0.0515463917525773;-0.1239343987839323
High;0.0718785624287514;0.256140350877193;0.6088635395868962
Unknown;0.5655886882262354;-0.1733021077283372;-0.3301527309652784
Unknown;0.7374252514949701;-0.0685871056241426;-0.1765383358988163
High;1.0;0.03003003003003;0.1068136590077371
Medium;0.0006799864002719;0.7241379310344828;1.414174351178596
High;1.0;0.0;
High;0.2173156536869262;-0.1782178217821782;-0.4604494772036831
High;0.127277454450911;-0.4489795918367347;-0.8109086716203432
Unknown;0.0077598448031039;0.6045751633986928;1.5431286552992975
High;0.253754924901502;-0.2428571428571428;-0.5901253921300605
Unknown;0.1131977360452791;-0.375;-0.8329165624478841
Unknown;0.3208335833283334;-0.2266666666666666;-0.428247856287798
Unknown;1.0;0.0508474576271186;0.0093627739516561
Unknown;0.4851902961940761;0.1558139534883721;0.3534077956273071
High;0.629027419451611;-0.2222222222222222;-0.5274096316339224
Unknown;0.0258794824103517;0.3830769230769231;0.6922350415083557
Unknown;0.4412711745765085;-0.2013888888888889;-0.4142670174128898
High;1.0;-0.0058823529411764;-0.0189649807650074
High;3.999920001599968e-05;-0.8117913832199547;-1.7427802874448592
Unknown;0.7359852802943941;-0.07833450952717;-0.1963922245590907
Low;0.0073998520029599;-0.4270833333333333;-0.9029622966054056
Low;1.0;-0.0192307692307692;-0.1453139317587876
High;1.0;-0.018348623853211;-0.1367171854049327
Unknown;0.0680386392272154;0.3188811188811188;0.6535614180339345
High;1.0;0.0242130750605326;0.0730745680882827
Unknown;0.0163996720065598;0.5797101449275363;1.100496986609521
Unknown;1.0;0.0492753623188405;0.058119286239835
High;0.1390772184556309;0.2689393939393939;0.8002148587283091
Medium;0.0007199856002879;-0.7962962962962963;-1.6573980231511074
High;1.0;0.0;
Unknown;1.0;0.0396825396825396;0.1029186311354645
High;1.0;-0.0178571428571428;-0.1430193883868388
Unknown;0.0069998600027999;-0.3161764705882353;-0.679872578766541
Control;0.1759164816703665;0.2793103448275862;0.5192889178110587
High;0.0423191536169276;0.3173076923076923;0.7870618074655301
Medium;0.0061198776024479;0.5180375180375181;1.1432943461338525
Unknown;0.0094398112037759;0.6388888888888888;1.3882337636205728
Unknown;1.0;0.0735294117647058;0.1785954091568548
High;0.5184296314073719;-0.1121495327102803;-0.3716463418939939
Low;0.24107517849643;-0.2623456790123457;-0.5430950287700956
Unknown;1.0;-0.0357142857142857;-0.1941607908369058
High;0.5448291034179317;0.2040816326530612;0.3881259440079624
Unknown;1.0;-0.1453201970443349;0.0071680955609718
Unknown;0.8325033499330013;0.1180555555555555;0.0938320403967579
Unknown;0.3249535009299814;0.2456140350877192;0.4775355428218828
High;1.0;-0.0172248803827751;-0.0122419830989175
Medium;0.0005599888002239;0.6201201201201201;1.630360047946831
High;1.0;0.0163432073544433;-0.0158163726810201
Unknown;0.0732785344293114;0.5384615384615384;0.979510367194018
Medium;1.0;-0.0153110047846889;-0.0312889854956378
Unknown;0.6529869402611947;-0.113107822410148;-0.2620207193638809
Low;0.3424331513369733;0.2162162162162162;0.3375546697970381
Medium;0.6671866562668747;-0.0714285714285714;-0.2813721498428925
Unknown;0.4086318273634527;-0.216796875;-0.399553052468671
Low;0.0025999480010399;0.312280701754386;1.4880054471828317
Unknown;0.9152616947661046;-0.0466666666666666;-0.181093629660553
High;0.5422291554168917;0.3022388059701492;0.2792396086414007
Unknown;0.9158216835663286;0.0545454545454545;0.1372648223593083
Unknown;0.0120397592048159;-0.515625;-0.9715560883843568
Unknown;0.8392232155356892;-0.0541666666666666;-0.1333250883756324
High;0.1810763784724305;0.2657657657657657;0.5616544910311766
