Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0108797824043519;0.6394557823129252;1.1379929877252135
Unknown;0.0913181736365272;0.5975308641975309;0.6629786952420317
Unknown;0.0255594888102237;0.6333333333333333;1.052402834586292
High;0.7809443811123777;-0.0473484848484848;0.0980231942806896
Unknown;7.999840003199936e-05;0.6734006734006734;1.9082266536842252
High;0.0151996960060798;0.3354330708661417;0.6325114786016135
Unknown;0.371152576948461;0.2990196078431372;0.3835187219227234
High;0.8291034179316413;0.0113712374581939;-0.0659789637697957
Low;0.0596388072238555;0.6086434573829532;0.6641464819504969
Unknown;7.999840003199936e-05;0.5637254901960784;1.735817968154705
Low;0.3240335193296134;-0.1328320802005012;-0.4021822120057414
Unknown;0.0017999640007199;0.6183908045977011;0.9864988603489612
High;0.6784264314713706;-0.1007462686567164;-0.1588965720667375
Unknown;0.0001599968000639;0.8549382716049383;2.273527178536361
High;0.0002799944001119;0.7160493827160493;1.1668828501146389
Unknown;3.999920001599968e-05;0.9197994987468672;1.8031791306682503
High;0.248515029699406;0.1596899224806201;0.3229078138162453
Low;3.999920001599968e-05;0.807070707070707;1.3667839614007484
High;0.0011599768004639;0.58;1.0602780417242148
Unknown;0.1482370352592948;0.6961538461538461;0.6054530527478073
Unknown;0.5582288354232915;0.1342592592592592;0.2124500635025039
Low;0.0082398352032959;0.3461538461538461;0.7135377032021519
Unknown;0.8238635227295454;0.0933333333333333;-0.035218443120545
Unknown;0.0140797184056318;0.4074074074074074;0.7116859568863134
Unknown;0.246635067298654;0.2986832986832987;0.309744930960922
Unknown;0.0065198696026079;0.8611111111111112;1.3324457824227782
Medium;0.0030799384012319;0.6598639455782312;1.234084651457762
Unknown;0.0023599528009439;0.5471167369901547;1.0609361116296148
Unknown;0.0018799624007519;0.5950617283950618;1.0394980184167255
High;0.0005999880002399;0.5;0.923412666415216
Medium;0.124597508049839;0.2961165048543689;0.4605069982347226
High;3.999920001599968e-05;0.7273182957393484;1.3810181881951138
Unknown;0.0216795664086718;0.4004683840749414;1.3615558397133651
Unknown;0.0419191616167676;0.5116598079561042;0.8702965139446521
High;0.0001199976000479;0.7207207207207207;1.302241692116083
Medium;7.999840003199936e-05;0.8029556650246306;2.1423242563604514
High;0.0003999920001599;0.5953079178885631;1.0328652911628884
High;3.999920001599968e-05;0.8597359735973598;1.6139762701428382
High;0.2926341473170536;0.1972789115646258;0.4662854084840652
Unknown;0.0784384312313753;0.4640522875816993;0.7613760025196987
High;7.999840003199936e-05;0.8214285714285714;1.2563194407188836
Unknown;0.2577948441031179;0.2445520581113801;0.4571686267010966
Unknown;0.0411591768164636;0.5259259259259259;0.7655311072582063
Unknown;0.0785584288314233;-0.4479418886198547;-0.5744497886645312
Unknown;7.999840003199936e-05;0.7681818181818182;1.329356919917225
High;0.0031199376012479;0.7511111111111111;1.3491753190726197
Unknown;3.999920001599968e-05;0.8717948717948718;1.782108319426636
Unknown;0.2692746145077098;0.3229166666666667;0.4196569960820771
High;0.0069598608027839;0.5435294117647059;0.9484592006399956
High;0.0378392432151356;0.5056689342403629;0.8278123984102433
Unknown;3.999920001599968e-05;0.7459421312632322;1.3526606122544664
Low;3.999920001599968e-05;0.8579545454545454;1.3363442709536562
Low;7.999840003199936e-05;0.8782051282051282;1.324881301149983
High;0.0111384111384111;0.908256880733945;2.0282614102680907
Unknown;0.126877462450751;0.3748251748251748;0.4752254884159912
High;0.0769584608307833;0.3753026634382566;0.7183638532861302
Unknown;3.999920001599968e-05;0.9021739130434784;1.8283588336858148
Unknown;0.750984980300394;0.2447058823529412;-0.1343003636563295
High;3.999920001599968e-05;0.8787878787878788;1.7200726936487254
Medium;0.0001999960000799;0.8580246913580247;1.4759634964210426
High;0.6385072298554029;-0.0868794326241134;-0.1416897142233273
Unknown;0.4241915161696766;0.1836734693877551;0.2261284189598166
High;0.5889482210355793;0.0158730158730158;-0.2147320439854288
Unknown;3.999920001599968e-05;0.6295955882352942;1.1717647926214
Control;3.999920001599968e-05;0.6229885057471264;1.376644977692806
High;0.0319593608127837;0.375;0.6475210667186898
Medium;0.120357592848143;0.3131313131313131;0.5616979710399203
Unknown;0.0043199136017279;0.6666666666666666;1.6819102954202942
Unknown;0.1811194653299916;0.5;0.7818102499333018
High;0.0018399632007359;0.5;0.969909723566025
Low;0.2155156896862062;0.4382716049382716;0.4451278930870889
Unknown;0.7792303669752991;-0.2738095238095238;-0.1215065957800731
High;0.249995000099998;-0.2244897959183673;-0.4863739160375264
Unknown;0.0350392992140157;0.5221674876847291;0.8313918413338514
Unknown;3.999920001599968e-05;0.9537037037037036;2.404236528796663
Unknown;0.5525089498210036;-0.1428571428571428;-0.2411029406347099
High;0.0413591728165436;0.3531100478468899;0.654707006719636
Medium;0.4663906721865563;0.0785185185185185;0.2541992084067993
High;0.372472550548989;0.0545454545454545;0.2901271945902848
Unknown;0.867942641147177;-0.0384615384615384;0.0852966568758499
Medium;7.999840003199936e-05;0.6784688995215311;1.170075599003293
Unknown;3.999920001599968e-05;0.9184952978056428;2.6871308108413574
Low;0.0172796544069118;0.0866250866250866;0.9278730932419466
Medium;3.999920001599968e-05;0.6402877697841727;1.1185515673070112
Unknown;0.0397992040159196;0.59375;0.9036546697556924
Low;3.999920001599968e-05;0.7421052631578947;1.3920430940296384
Unknown;0.1604367912641747;-0.34;-0.6186897312013429
High;0.0197196056078878;0.5111940298507462;0.8547030716344687
Unknown;0.9150216995660088;0.0285714285714285;0.0525429338554185
Unknown;0.4815503689926201;0.1461538461538461;0.2677191659311812
Unknown;0.1113577728445431;0.3120915032679738;0.5233941073372718
High;0.1909961800763984;0.2612612612612612;0.4659440495396202
Low;0.0385992280154396;0.3611111111111111;0.6607090330890668
Unknown;0.0001999960000799;0.7;1.4209110261972075
High;0.0488790224195516;0.3784786641929499;0.6143839997902965
Low;0.7743045139097218;0.0253045923149015;0.0995651363684837
Low;3.999920001599968e-05;0.7696428571428572;1.8813441300694465
Unknown;0.1967560648787024;0.1740890688259109;0.3809395289497695
Unknown;0.6405071898562029;0.0987654320987654;0.2053843934100646
Unknown;0.0568388632227355;0.2551319648093841;0.6968154238286629
Medium;0.0009199816003679;0.6090909090909091;0.9265543172328
High;0.0001599968000639;0.7692307692307693;1.2920999224399743
Unknown;0.0642387152256954;0.3261904761904762;0.6066371962065026
Unknown;0.0119197616047679;0.4714285714285714;0.8304186701865262
High;0.0015999680006399;0.4914529914529914;0.8695387321597119
Unknown;0.0012799744005119;0.7610062893081762;1.335550049951124
Unknown;0.0627987440251195;0.49;0.6711356446271782
High;0.0127997440051198;0.4157760814249364;0.7166564496692519
Control;0.0054798904021919;0.5470383275261324;0.9539184727994944
Medium;3.999920001599968e-05;0.9549929676511956;1.8752573442533185
High;3.999920001599968e-05;0.8383838383838383;1.8102194004757448
Unknown;0.1611567768644627;0.3244444444444444;0.6699853416247536
Medium;3.999920001599968e-05;0.8282967032967034;1.636117088610716
High;0.8283834323313534;0.0429629629629629;0.0711896777851748
Unknown;3.999920001599968e-05;0.8636363636363636;1.5332451532303646
Unknown;0.0476390472190556;0.5185185185185185;0.898519251099656
Medium;3.999920001599968e-05;0.611904761904762;1.113025779754708
High;0.1353972920541589;-0.2720588235294117;-0.5712235903491331
Unknown;0.6809863802723946;0.1088435374149659;0.1794126877393168
Unknown;0.0909981800363992;0.5471698113207547;0.7738400605711124
Medium;3.999920001599968e-05;0.8289156626506025;1.3331127172250363
Medium;0.6663866722665547;-0.0961538461538461;-0.1345215647864977
Unknown;0.0002799944001119;0.6798029556650246;1.5774082707156176
Unknown;0.113797724045519;0.2998477929984779;0.5562353013979972
High;0.0015199696006079;0.5235849056603774;0.9283550755070784
High;0.0035199296014079;0.4777699364855328;0.8332374694884549
Unknown;0.0086398272034559;0.5463728191000918;0.8687888255788255
High;0.6380672386552269;-0.0720647773279352;-0.1495007269304194
Unknown;0.3472730545389092;0.2533333333333333;0.3188835475684525
Medium;3.999920001599968e-05;0.761501210653753;1.2120895500573452
High;0.3058738825223495;-0.1809523809523809;-0.4102506820520393
High;0.1696766064678706;0.4963680387409201;0.5583737564918595
Unknown;0.6706665866682666;0.0588235294117647;0.1719066633860761
Unknown;0.2337553248935021;-0.0674486803519061;-0.3712655434643299
High;0.0774384512309753;0.4154411764705882;0.6740483579081491
Low;7.999840003199936e-05;0.7291280148423006;1.558203748473197
High;0.8346233075338493;-0.0285714285714285;-0.0882683337531944
Unknown;0.1311973760524789;0.4965986394557823;0.6402826139978807
Unknown;0.0014799704005919;0.7666666666666667;1.5438750035318052
Unknown;0.6960260794784104;0.0296296296296296;-0.2713104999806634
Unknown;0.1081978360432791;0.3395522388059701;0.6029935154577201
High;0.0027999440011199;0.6406035665294925;1.0913649625116648
High;3.999920001599968e-05;0.9305555555555556;1.96568245104682
Low;0.0008799824003519;0.570957095709571;1.031506990688047
Unknown;3.999920001599968e-05;0.7913875598086124;1.4217776937317537
Unknown;0.0003599928001439;0.8679245283018868;2.270576197824434
High;0.0155996880062398;0.5407407407407407;0.8050222464132981
High;3.999920001599968e-05;0.9903147699757868;3.020639594241716
Unknown;3.999920001599968e-05;0.7662337662337663;1.6855981211711553
Unknown;0.0001999960000799;0.695852534562212;1.117170458080632
High;3.999920001599968e-05;0.8629032258064516;1.9587122731948952
Unknown;0.1411571768564628;0.4539007092198581;0.6018328122980253
High;0.0009599808003839;0.5984015984015985;0.970715610170657
High;3.999920001599968e-05;0.8609986504723347;2.051750880605847
Unknown;0.1094378112437751;0.4074074074074074;0.6216310984649448
Medium;3.999920001599968e-05;0.9324675324675324;1.6543914881340422
High;0.0999580008399832;-0.3560090702947845;-0.6724385364129187
High;0.0324793504129917;0.4242424242424242;0.8283048130091488
Unknown;0.0133597328053438;0.6666666666666666;1.097229451736008
Medium;0.6091078178436431;0.0517241379310344;0.1459259065914344
Unknown;0.1867562648747025;0.2311688311688311;0.5661911283184539
High;0.1816763664726705;-0.3194444444444444;-0.4662240925029659
High;0.0048399032019359;0.5524691358024691;0.9268957801905854
Unknown;0.3020739585208296;0.4285714285714285;0.4242334795415344
High;0.879742405151897;0.0184331797235023;0.0561589563277446
Unknown;0.0236395272094558;0.3365617433414044;0.6478457369644621
High;0.0311193776124477;0.5238623751387348;0.6269519095695478
Unknown;3.999920001599968e-05;0.8585858585858586;2.601983681192296
High;3.999920001599968e-05;0.851921274601687;1.891242551332656
Medium;0.0008799824003519;0.6403508771929824;1.0406022039627572
Unknown;3.999920001599968e-05;0.7811447811447811;1.6912694112318347
High;0.4254314913701726;-0.1644444444444444;-0.3782768959444241
Low;0.0014799704005919;0.6631944444444444;1.1521635222586653
Unknown;0.0529189416211675;0.4708994708994709;0.7422153305269797
Medium;0.4297514049719005;0.0834879406307977;0.0191649722252069
Unknown;3.999920001599968e-05;0.906818181818182;1.83096285283658
Medium;3.999920001599968e-05;0.8005698005698005;1.4286684611710203
Unknown;0.3507529849403012;-0.2080200501253132;-0.3727552181213802
High;0.6052678946421072;-0.137291280148423;-0.1594522474485316
High;0.0004799904001919;0.6558139534883721;1.091276367806799
High;0.0007999840003199;-0.779874213836478;-1.4408109529303024
High;3.999920001599968e-05;0.9012987012987012;3.067234532660087
Medium;0.0355992880142397;-0.2515592515592516;-0.5676460497053865
Low;0.0033199336013279;0.5632183908045977;0.9383106341166132
High;0.0004799904001919;0.7843137254901961;1.5561382182542436
Unknown;0.2169156616867662;0.1161440185830429;0.3700838310995204
High;3.999920001599968e-05;0.681947261663286;1.3101327954625843
High;0.0023199536009279;0.6482758620689655;1.0141541049293987
Medium;0.0357592848143037;0.3850129198966408;0.5833436767164832
Unknown;0.0442791144177116;0.5168831168831168;0.7917315991531974
Unknown;7.999840003199936e-05;0.7228381374722838;1.271405306226414
Unknown;3.999920001599968e-05;0.8073578595317725;1.328275437385752
High;0.0083598328033439;0.5373134328358209;1.0221664743309304
Unknown;0.0003599928001439;0.7146853146853147;1.403835824162276
High;0.0080398392032159;0.6444444444444445;1.2261890955193353
Low;0.0001199976000479;0.7711267605633803;1.48685339056585
High;0.1047579048419031;0.1651234567901234;0.5170060131330326
High;0.0002799944001119;0.5359173126614987;0.9472721911251089
Low;7.999840003199936e-05;0.6875;1.324784595378386
Medium;0.1549969000619987;0.4924924924924925;0.5468627472944289
Unknown;3.999920001599968e-05;0.5751196172248804;3.1340498753906827
High;0.0144397112057758;0.7948717948717948;1.7834065390167215
Low;3.999920001599968e-05;0.8355437665782494;1.546782297031921
High;0.4703905921881562;0.0359550561797752;-0.2377721863228697
Unknown;0.3108737825243495;0.2178932178932179;0.3595754260824132
High;0.373392532149357;-0.1771771771771771;-0.3145716684302535
High;7.999840003199936e-05;0.7923076923076923;1.447774819188572
Unknown;0.8289834203315933;0.0567375886524822;0.1014464680767861
Unknown;0.0311193776124477;0.5733333333333334;1.3530977056480256
High;0.5400691986160276;0.1751152073732718;0.2517558587288207
Low;0.0043599128017439;0.3751451800232288;0.8080423094852545
Unknown;0.1097178056438871;0.2845528455284553;0.4488581834398787
Unknown;0.0280794384112317;0.3723653395784543;1.2189322782609104
High;0.7939841203175937;0.24;0.0474118332667281
Unknown;0.2129957400851983;0.1015873015873015;0.3572361455208658
Low;0.2904741905161896;0.4332552693208431;0.2813879530540786
High;0.0006799864002719;0.6972222222222222;1.3593829497397012
Unknown;3.999920001599968e-05;0.930565010211028;2.69638510957274
Medium;0.8907421851562969;0.0331890331890331;-0.0130336603506598
Unknown;0.0041999160016799;0.7021276595744681;1.2733680807919718
Unknown;0.0161196776064478;0.4128440366972477;0.7168108934133671
High;0.7826243475130498;-0.072599531615925;-0.1183617929935483
High;0.0017199656006879;0.5622222222222222;0.9808457535559948
High;0.1562768744625107;0.2207792207792207;0.405741691380944
Medium;3.999920001599968e-05;0.7655007949125596;1.4612075842982166
High;0.1046779064418711;0.3450834879406308;0.5242107122934255
Medium;0.0023199536009279;0.7142857142857143;1.1986812882722464
Medium;3.999920001599968e-05;0.6463133640552995;1.2523602907422071
Medium;3.999920001599968e-05;0.7733050847457628;1.2165202702622466
Medium;0.0855582888342233;0.6052631578947368;0.6419895774797783
Low;0.0002799944001119;0.4222222222222222;1.758841007255698
High;0.4977500449991;0.1843971631205673;0.2962602568787054
Unknown;0.0028799424011519;0.5833333333333334;1.0495729869828143
High;3.999920001599968e-05;-0.8943661971830986;-2.1556710850788483
Unknown;0.4225915481690366;0.272;0.394370291710873
High;3.999920001599968e-05;0.8022388059701493;1.5853072015123963
High;0.0037599248015039;0.5885885885885885;0.973375933950304
High;0.1924761504769904;0.2134502923976608;0.4660041149621436
High;0.1002779944401111;0.6783625730994152;0.7476621214251232
High;0.2661146777064458;0.2786885245901639;0.4474630415481295
High;0.0477190456190876;-0.3464285714285714;-0.7219374937293938
Medium;0.0465190696186076;0.3767605633802817;0.7220645123726903
High;0.4063918721625567;-0.1561181434599156;-0.291313752629759
High;0.1371972560548789;0.1586206896551724;0.5394698276505745
High;0.0105197896042079;0.4334140435835351;0.6994819030849763
Medium;0.4567108657826843;0.0315500685871056;0.2701534449406717
High;0.1269974600507989;-0.2706552706552707;-0.5502310051804971
Medium;0.4837903241935161;-0.0526315789473684;-0.2458706633508929
High;3.999920001599968e-05;0.97989417989418;1.99141247630713
Low;3.999920001599968e-05;0.6205714285714286;1.197827956986027
High;0.0003199936001279;0.5278776978417267;0.9060119604269502
Medium;0.0049599008019839;0.5079051383399209;0.8119650315163289
High;0.0035199296014079;0.5816993464052288;0.9306674164015438
Medium;0.4392712145757085;0.2950819672131147;0.2932341669565078
Unknown;0.0002799944001119;0.753968253968254;1.5264058738466817
High;0.0005199896002079;0.7352941176470589;1.3961633273498415
Unknown;3.999920001599968e-05;0.9622195985832348;2.1602741418190523
Unknown;7.999840003199936e-05;0.7340286831812256;1.3524878462619234
High;0.4211115777684446;-0.2222222222222222;-0.3574761912310071
High;0.0001599968000639;0.7595129375951294;1.3030765321958266
High;7.999840003199936e-05;0.9382716049382716;1.4883081879568605
High;0.0402391952160956;0.7350649350649351;1.1077516603583908
Unknown;0.3973120537589248;-0.2251815980629539;-0.3435017630923113
Medium;0.0010799784004319;0.6574074074074074;1.1946785905020747
Medium;0.7068258634827304;0.6455223880597015;0.1330460584521967
High;3.999920001599968e-05;0.7190876350540216;1.7419515006899575
High;0.0018399632007359;-0.6755447941888619;-1.3132762169962104
Unknown;0.1091978160436791;0.4444444444444444;0.7168107936599956
Unknown;0.6101477970440591;0.1063829787234042;0.2241730606481418
High;0.0002399952000959;0.5749128919860628;1.0170048297309522
High;0.0363592728145437;0.6051948051948052;0.9063970813484548
High;0.0109597808043839;0.575;0.7252125518404202
Medium;0.0232395352092958;0.56640625;0.8139528272171277
Medium;0.0013199736005279;0.4921875;0.7387677360189399
Unknown;0.0083598328033439;0.5867346938775511;1.1587694414333656
Medium;0.0013599728005439;0.6164705882352941;0.990493441856592
Medium;0.0226395472090558;0.4805194805194805;0.9198927561130114
High;0.0097598048039039;0.4880450070323488;0.9806713215572676
High;0.1735565288694226;-0.2845336481700118;-0.3896091138678131
Medium;0.0789584208315833;0.26;0.8225770574795473
Low;0.0018399632007359;0.6805555555555556;1.2428987485764893
Unknown;0.0007599848003039;0.74;1.6099502334125655
Medium;0.3949521009579808;0.2012578616352201;0.3776195743584956
Unknown;3.999920001599968e-05;0.8262599469496021;1.6974161123290632
High;0.4881502369952601;0.2162162162162162;0.2386285217350721
Low;0.1017979640407191;0.4805194805194805;0.7102604179873881
Unknown;0.0009999800003999;0.7523809523809524;1.1615746001704232
Unknown;3.999920001599968e-05;0.967948717948718;2.256232559134341
Low;0.0015199696006079;0.6244131455399061;1.103857554676594
Unknown;0.0821583568328633;0.4205607476635514;0.5801721462737893
Medium;0.0001199976000479;0.7242757242757243;1.2131844010863857
High;0.0051998960020799;-0.3980309423347398;-1.0939434579269982
High;3.999920001599968e-05;0.7731481481481481;1.1531775213698348
Unknown;0.0947981040379192;0.4204081632653061;0.6709327775602284
High;0.0820383592328153;0.1794285714285714;0.485426222680187
Medium;3.999920001599968e-05;0.8340365682137834;1.3550048249663238
High;0.0008399832003359;0.5698412698412698;0.98809647774951
Unknown;0.0027599448011039;0.6065573770491803;1.149716377880374
Medium;0.1023179536409271;0.2714285714285714;0.5379441626816394
Unknown;0.4781904361912761;-0.0839506172839506;-0.2616616241891865
Unknown;0.2059958800823983;0.4887218045112781;0.5572108812858405
Unknown;0.0035599288014239;0.5768645357686454;1.0376075223330905
High;0.0006399872002559;0.8628257887517147;1.303595580925163
High;0.9234615307693846;0.04296875;-0.0445962451385005
Medium;0.0572388552228955;0.2777777777777778;0.551590889270005
Unknown;3.999920001599968e-05;0.8818770226537217;1.4435846293133916
Unknown;0.5754684906301873;0.2826086956521739;0.0141207025518568
Low;0.0732785344293114;0.4285714285714285;0.7282019516023405
High;3.999920001599968e-05;0.8709677419354839;1.771575991582673
High;0.3095138097238055;0.2432432432432432;0.2991883465560723
Unknown;0.3854322913541729;0.1013824884792626;0.3536845565621413
Unknown;0.7477551020408163;-0.1666666666666666;-0.2427596373897526
High;0.0054798904021919;0.5295815295815296;0.9898540595744598
Unknown;0.0367192656146877;0.5217391304347826;0.938983702081091
High;0.1373572528549429;0.3653846153846153;0.5651673248555782
High;0.0001199976000479;0.5629370629370629;0.9438477576209152
Low;0.1083178336433271;-0.3363363363363363;-0.5343397957874745
Unknown;3.999920001599968e-05;0.980246913580247;2.507538866312128
High;0.2103957920841583;0.2666666666666666;0.545742231327073
Low;0.0018799624007519;0.6363636363636364;1.4595300109527105
High;0.0005199896002079;0.8641975308641975;1.257182025974604
High;0.0654786904261914;-0.2746031746031746;-0.5704518798940784
High;3.999920001599968e-05;-0.9168831168831169;-1.8415164574175007
Unknown;0.0244395112097758;0.52734375;0.97763427008425
High;3.999920001599968e-05;0.8694029850746269;1.9063444850758824
High;0.0010799784004319;0.6133333333333333;0.962796315846682
Medium;0.241355172896542;0.2258823529411764;0.3944099412979732
High;0.6999060018799624;0.1360544217687075;0.172345854953529
High;0.0042399152016959;0.4916666666666666;0.8647717610468262
Unknown;0.5324693506129877;0.4023255813953488;0.1895336974023508
Unknown;3.999920001599968e-05;0.8007202881152461;1.4394302707616422
Unknown;0.0055198896022079;0.5785714285714286;0.974907889501983
Unknown;3.999920001599968e-05;0.8722222222222222;1.6362650923102249
Unknown;0.3474330513389732;0.0192592592592592;0.3321471911502797
Unknown;0.0632787344253115;-0.1313131313131313;-0.570329233275738
High;0.0054398912021759;0.4095238095238095;0.7220535676201572
High;3.999920001599968e-05;0.6992248062015504;1.3674909093246586
Low;0.0453590928181436;0.4489795918367347;0.8853237701872929
Medium;0.0047199056018879;0.5108433734939759;0.8425066020363545
Unknown;0.1291974160516789;0.2740046838407494;0.6592829548571525
Medium;3.999920001599968e-05;0.8324175824175825;1.7000415376690938
Unknown;3.999920001599968e-05;0.9863636363636364;3.192214980414527
Control;0.0243595128097438;0.7107142857142857;0.9718783839382152
High;0.121397572048559;0.4857142857142857;0.6489932017782677
Unknown;0.9475410491790164;0.0389610389610389;0.0188089587019013
Low;7.999840003199936e-05;0.7204301075268817;1.4340485755875232
Control;0.1510369792604148;0.3550724637681159;0.6323307525089563
Unknown;0.0578788424231515;0.5510204081632653;0.8040529412061208
