Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.119397612047759;0.3333333333333333;0.7428244834319503
Unknown;0.0001199976000479;0.7012345679012346;1.1717833405719011
Unknown;0.4740305193896122;0.2933333333333333;0.313206994793721
High;0.9612207755844884;-0.2225378787878787;0.0319525632983524
Unknown;0.5234695306093878;-0.207070707070707;-0.1965118312636597
High;0.1020379592408151;0.1464566929133858;0.4326160944107707
Unknown;0.0492390152196956;0.571078431372549;0.7963810870047334
High;0.2759144817103658;-0.2749163879598662;-0.3238526217751951
Low;3.999920001599968e-05;0.7310924369747899;1.2961089826041483
Unknown;0.0006399872002559;0.5147058823529411;0.9428179567942244
Low;0.2603947921041579;0.3082706766917293;0.4561977083427945
Unknown;0.0202395952080958;0.4689655172413793;0.7423193224761312
High;0.9803003939921202;-0.0783582089552238;0.0688483516612108
Unknown;0.9464210715785684;-0.0679012345679012;-0.0209126055747357
High;3.999920001599968e-05;0.8487654320987654;1.5074817660362718
Unknown;0.0001199976000479;0.7944862155388471;1.420385762960486
High;0.4837503249935001;0.0454780361757105;0.1957805145975125
Low;3.999920001599968e-05;0.7696969696969697;1.3692931595442055
High;0.0077998440031199;0.3777777777777777;0.7135418542404822
Unknown;0.4617507649847003;0.1692307692307692;0.2776708310372542
Unknown;0.0021199576008479;0.6053240740740741;1.0341363017494616
Low;0.0405191896162076;0.5334757834757835;0.6442668388247967
Unknown;0.4389512209755805;-0.2266666666666666;-0.3486927863785071
Unknown;0.5881082378352432;-0.0306267806267806;0.1655554649081868
Unknown;0.0258794824103517;-0.3395703395703395;-0.703064442113413
Unknown;0.998740025199496;0.0138888888888888;-0.0206971515492138
Medium;0.0159196816063678;-0.5827664399092971;-0.9004829158903505
Unknown;0.8375432491350173;0.0337552742616033;0.0858692474947536
Unknown;0.3466730665386692;0.0567901234567901;-0.3160896776886691
High;0.0047599048019039;0.3886904761904762;0.6836442353808814
Medium;0.0295194096118077;0.284789644012945;0.6379131215268692
High;0.0484390312193756;0.2511278195488722;0.5039321428119731
Unknown;0.6633067338653227;-0.180327868852459;-0.238129688385734
Unknown;0.1932361352772944;0.1440329218106996;0.4662188862215284
High;0.0178396432071358;0.4369369369369369;0.8248218677050008
Medium;3.999920001599968e-05;0.8817733990147784;1.9681592104260657
High;0.9216615667686646;-0.2277614858260019;0.0198402518992992
High;0.0021999560008799;0.3844884488448845;0.8241206905699748
High;0.876582468350633;0.0068027210884353;0.0982799954887076
Unknown;0.0071998560028799;0.7352941176470589;0.9717203958538386
High;0.5385892282154356;0.0178571428571428;0.2447869655215197
Unknown;0.0296794064118717;0.6319612590799032;1.1103399496833668
Unknown;0.0039599208015839;0.6918518518518518;1.1133496482385996
Unknown;0.3388332233355333;0.234866828087167;0.3913370800547898
Unknown;0.0059198816023679;0.5159090909090909;0.9118792981166416
High;0.2550748985020299;0.2888888888888888;0.5098065186038258
Unknown;0.0009999800003999;0.52;0.813980074946081
Unknown;0.0080798384032319;0.5555555555555556;1.0463929769537963
High;0.3226335473290534;0.1447058823529411;0.3345152015309409
High;3.999920001599968e-05;0.8594104308390023;1.2891918475873645
Unknown;3.999920001599968e-05;0.6704304869442484;0.9802658749967904
Low;0.0043199136017279;0.6912878787878788;0.7800712958558842
Low;0.996180076398472;-0.1858974358974359;0.049474228944642
High;0.1621621621621621;-0.3302752293577982;-1.1901211772904616
Unknown;0.0157596848063038;0.4153846153846154;0.6420715672195852
High;0.4010319793604128;-0.0968523002421307;-0.3301631961563514
Unknown;0.0001599968000639;0.782608695652174;1.1961300340855068
Unknown;0.6464670706585868;0.1011764705882353;0.1203859500840457
High;3.999920001599968e-05;0.928030303030303;1.2413156390869808
Medium;0.0416391672166556;0.4845679012345679;0.7387654178524335
High;0.9092218155636888;0.00177304964539;-0.0221055737840034
Unknown;0.3878722425551489;0.1791383219954648;0.2466012637325181
High;0.8879822403551929;-0.1011904761904761;0.0647316028969236
Unknown;0.9359812803743924;-0.0505514705882352;0.0271145283160868
Control;0.2236355272894542;-0.2804597701149425;-0.4081549773591717
High;0.0269194616107677;-0.3229166666666667;-0.7057030455069575
Medium;0.0287194256114877;0.6681096681096681;0.8870744933669422
Unknown;0.0294394112117757;0.5381944444444444;1.0775502620101545
Unknown;0.4324143692564745;0.3529411764705882;0.4307017540306145
High;0.119397612047759;0.2180685358255451;0.4423457615611481
Low;0.0092398152036959;0.4953703703703703;0.849160395764169
Unknown;0.4305884524285582;0.1904761904761904;0.5001977722736123
High;0.0250794984100318;-0.4013605442176871;-1.1622989499291785
Unknown;0.4217915641687166;0.0985221674876847;0.2958703163264403
Unknown;0.9129817403651928;-0.1189814814814814;-0.019475637570238
Unknown;0.9042619147617048;0.0175438596491228;-0.1316176104209162
High;0.0230395392092158;0.4449760765550239;0.6913179512182923
Medium;0.1555168896622067;-0.6725925925925926;-0.5724347361102196
High;0.0088798224035519;0.3878787878787879;0.6900817779617646
Unknown;0.9627007459850804;0.0673076923076923;0.0063178716222492
Medium;0.0389192216155676;0.3990430622009569;0.6543183684884414
Unknown;0.0415591688166236;-0.3625914315569488;-0.6986031013763057
Low;0.0118397632047359;0.2924462924462924;0.5384024565940371
Medium;0.0429991400171996;0.2873201438848921;0.5571463632030662
Unknown;0.882902341953161;0.078125;0.0184895988048328
Low;3.999920001599968e-05;0.775438596491228;0.9830457626879971
Unknown;0.9457410851782964;-0.18;-0.041969646976047
High;0.0653186936261274;0.3227611940298507;0.669188101261995
Unknown;0.5100697986040279;-0.0753246753246753;-0.2978650821544004
Unknown;0.0882782344353113;-0.4153846153846154;-0.6347312580560539
Unknown;0.1563568728625427;0.2892156862745098;0.4554625928818113
High;0.0131197376052478;-0.506006006006006;-0.9546368042210496
Low;0.0029199416011679;0.6916666666666667;1.0220696903350956
Unknown;0.124397512049759;-0.2027777777777777;-0.5747414047501054
High;0.0141997160056798;0.4090909090909091;0.9186947429981168
Low;0.0083198336033279;-0.2867853795688847;-0.971954319537666
Low;0.0028399432011359;0.4290178571428571;0.7606233493597929
Unknown;0.0121597568048639;0.3394062078272604;0.7286955342179747
Unknown;0.4784304313913721;0.25;0.2954646466262967
Unknown;0.0027599448011039;-0.4125122189638319;-0.9476646189174484
Medium;0.0011599768004639;0.5295454545454545;1.0998692872417732
High;0.0090398192036159;0.4807692307692308;1.2052171776343794
Unknown;0.8837423251534969;-0.1226190476190476;0.0610210616382037
Unknown;0.9673406531869364;0.0976190476190476;0.03656302692595
High;0.0511989760204795;0.2699430199430199;0.5518029969195735
Unknown;3.999920001599968e-05;0.889937106918239;1.1294478280425222
Unknown;0.0639587208255834;0.4075;0.5926307597688704
High;0.0435591288174236;0.3857506361323155;0.5733724833939768
Control;0.3590328193436131;0.2032520325203252;0.2551843069227648
Medium;0.0105997880042399;0.6033755274261603;0.8115417253302172
High;0.1913161736765264;0.0348484848484848;0.3525351839127058
Unknown;0.0901581968360632;-0.3066666666666666;-0.8903947537754376
Medium;0.0024399512009759;0.3818681318681318;0.6703513633806667
High;0.8023039539209216;-0.0518518518518518;-0.0783049180375808
Unknown;0.0006799864002719;0.678030303030303;1.3400119719629866
Unknown;0.0265194696106077;-0.5037037037037037;-1.0531445780782709
Medium;0.1332773344533109;0.0023809523809523;0.4093068325986413
High;0.1703965920681586;-0.3786764705882353;-0.5383997828239123
Unknown;0.6463070738585228;-0.0748299319727891;-0.1830082861492428
Unknown;0.0587588248235035;0.4811320754716981;0.8345124594374935
Medium;0.2097158056838863;0.253012048192771;0.4084891175864412
Medium;7.999840003199936e-05;0.5721153846153846;1.2769358778775703
Unknown;0.0847583048339033;-0.2561576354679803;-0.6482469353515279
Unknown;0.3382732345353093;0.1445966514459665;-0.3049340821847559
High;0.0007599848003039;0.4882075471698113;0.8217772204185191
High;0.0077598448031039;0.378969654199012;0.6983761306742376
Unknown;0.0009599808003839;0.6170798898071626;0.9426136282085706
High;0.0775984480310393;0.2680161943319838;0.5145762396405555
Unknown;3.999920001599968e-05;0.7813333333333333;1.642085895011535
Medium;0.985180296394072;0.0405569007263922;-0.004936781175551
High;0.985580288394232;0.0071428571428571;0.0100180559710902
High;7.999840003199936e-05;0.8837772397094431;1.4444937735191126
Unknown;0.1348373032539349;0.3333333333333333;0.6707686084165095
Unknown;0.5527889442211156;0.1075268817204301;0.1979323766506094
High;0.2007559848803023;0.3988970588235294;0.4483735892566309
Low;0.0107597848043039;-0.536178107606679;-0.8406407314248036
High;0.3935921281574368;-0.0523809523809523;0.3461776825772652
Unknown;0.3375132497350053;-0.2698412698412698;-0.3819903575697548
Unknown;0.1461570768584628;0.3733333333333333;0.6161619928364506
Unknown;0.1036379272414551;-0.4074074074074074;-0.663569543815719
Unknown;0.367312653746925;0.1940298507462686;0.3491469240734797
High;0.0046799064018719;0.5802469135802469;0.7153103273524334
High;0.0012399752004959;0.625;1.0074478186421498
Low;0.0019199616007679;0.5297029702970297;0.8823895510758701
Unknown;0.0678786424271514;0.354066985645933;0.5739972535663345
Unknown;0.379072418551629;0.2327044025157232;0.3584214443834203
High;0.0101197976040479;0.5081481481481481;0.869664895591192
High;0.0004399912001759;-0.7167070217917676;-1.5195191993893489
Unknown;0.0595988080238395;-0.5575139146567718;-0.5679946083762999
Unknown;0.1540769184616307;0.2448156682027649;0.4008531061130495
