Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.883142337153257;0.0612244897959183;0.0707439468097404
Unknown;0.0917581648367032;-0.2296296296296296;-0.6458682984025117
Unknown;0.126957460850783;-0.1933333333333333;-0.7384793972117992
High;0.0296794064118717;0.4147727272727273;0.5238357882444236
Unknown;0.3525129497410051;-0.2239057239057239;-0.2874080562222856
High;0.2081558368832623;0.1406824146981627;0.3377892837663068
Unknown;0.757464850702986;0.3284313725490196;0.0879917852598669
High;0.1609567808643827;-0.2588628762541806;-0.440642736943049
Low;0.0773184536309273;0.2821128451380552;0.4498917713339252
Unknown;0.0028799424011519;-0.4697712418300653;-1.010552675935564
Low;0.9737405251894962;-0.1528822055137844;0.0147517698102195
Unknown;0.4856702865942681;0.157471264367816;-0.1845013613562496
High;0.7340653186936261;-0.1380597014925373;-0.0989532765232336
Unknown;0.8372232555348893;-0.1882716049382716;-0.0482829327073734
High;0.0154396912061758;0.5061728395061729;0.8092400752213967
Unknown;0.0099998000039999;0.6290726817042607;0.8034087787672348
High;0.7320653586928262;-0.0439276485788113;0.1490194450880224
Low;3.999920001599968e-05;0.7727272727272727;0.6739259800638772
High;0.0670386592268154;0.3177777777777777;0.5503956341274965
Unknown;0.0023599528009439;-0.6346153846153846;-1.4395982941046832
Unknown;3.999920001599968e-05;0.8564814814814815;0.6637895691971988
Low;0.867342653146937;0.0113960113960113;-0.0039164036635134
Unknown;0.375992480150397;-0.2711111111111111;-0.3482667351761896
Unknown;0.1611967760644787;0.2222222222222222;0.3773461605648895
Unknown;0.9382612347753044;-0.1171171171171171;-0.0046726703395744
Unknown;0.3048739025219495;0.1071428571428571;0.3862462295975701
Medium;0.0039199216015679;0.6054421768707483;0.9862965927881584
Unknown;0.0257194856102877;-0.3586497890295358;-1.0575646727393724
Unknown;0.3821123577528449;-0.1481481481481481;-0.219160939176946
High;0.2601147977040459;0.1285714285714285;0.3140727770855973
Medium;0.3511929761404772;-0.2864077669902912;-0.2787288329468962
High;0.1559168816623667;-0.0496240601503759;-0.4474249251833499
Unknown;0.5450290994180116;0.297423887587822;0.2881293838490321
Unknown;0.1654366912661747;-0.1412894375857339;-0.5245765684791175
High;0.3199136017279654;0.1771771771771771;0.3405779274657058
Medium;0.0001999960000799;-0.9113300492610836;-2.2268536948093423
High;0.0314793704125917;0.4056695992179863;0.6374437429549428
High;0.0909581808363832;0.4661716171617162;0.402971642823509
High;0.1799564008719825;0.2585034013605442;0.457260266079086
Unknown;0.0156796864062718;-0.5816993464052288;-1.3256035651390945
High;0.1904761904761904;-0.3178571428571428;-0.5051791699009297
Unknown;0.6190276194476111;-0.1331719128329297;-0.0838171060871874
Unknown;0.0849983000339993;-0.5496296296296296;-0.7067794125547071
Unknown;0.0821183576328473;0.3753026634382566;0.5624235804225854
Unknown;0.7829443411131778;-0.0522727272727272;0.139454671763768
High;0.243755124897502;0.2355555555555555;0.521190040766031
Unknown;0.0109197816043679;0.4369230769230769;0.5679784509270503
Unknown;0.4033519329613407;0.0798611111111111;0.3262262542116676
High;0.5960280794384112;0.1176470588235294;0.2037389650525685
High;0.0017999640007199;-0.6190476190476191;-1.4340137030611502
Unknown;3.999920001599968e-05;0.7593507410021172;0.4823618263511939
Low;0.2761144777104458;0.240530303030303;0.2915804430609541
Low;0.7672646547069059;0.1282051282051282;0.1497800182650005
High;0.3158067158067158;-0.6880733944954128;-0.4792553061481969
Unknown;0.0697986040279194;0.4321678321678321;0.4315971542651952
High;0.0896382072358552;-0.3801452784503632;-0.8218494731437068
Unknown;0.617947641047179;-0.2246376811594203;-0.1604422907102462
Unknown;0.9211815763684726;-0.0847058823529411;0.0572790370676564
High;0.122717545649087;0.3901515151515151;0.5624021332563511
Medium;0.1588768224635507;0.3703703703703703;0.4434583305123069
High;0.0983580328393432;-0.1117021276595744;-0.6936001630835963
Unknown;0.4545909081818363;-0.1292517006802721;-0.1940936780986291
High;0.8629827403451931;-0.0119047619047619;0.1311348897670544
Unknown;0.9333413331733366;0.0174632352941176;0.0102252249012377
Control;0.5747085058298834;-0.2390804597701149;-0.1146714773520579
High;0.6688666226675466;-0.1185897435897435;-0.1258662572745832
Medium;3.999920001599968e-05;0.7489177489177489;1.1975247880711877
Unknown;0.1955960880782384;-0.2152777777777778;-0.6248208752893593
Unknown;0.6870509607351712;0.0294117647058823;-0.2000365400279266
High;0.6990260194796104;-0.1822429906542056;-0.1075862629473864
Low;0.2304753904921901;0.2006172839506173;0.4112812349166981
Unknown;0.5392968101141222;-0.1428571428571428;-0.2160997956582674
High;0.2705945881082378;-0.3129251700680272;-0.4838182505575353
Unknown;0.98890022199556;-0.083743842364532;0.0336687620853672
Unknown;3.999920001599968e-05;0.6925925925925925;0.748696471584241
Unknown;0.2062358752824943;0.2481203007518796;0.4137345380400642
High;0.0304793904121917;-0.4143540669856459;-0.7769386278633301
Medium;0.116077678446431;-0.2888888888888888;-0.5713784330075302
High;0.0230795384092318;0.4565656565656565;0.6966497994478847
Unknown;0.8148637027259454;-0.0128205128205128;0.1507952786138676
Medium;0.7125857482850343;-0.4449760765550239;-0.0918025710515599
Unknown;0.7333453330933382;0.2225705329153605;-0.0811207154789921
Low;0.0421991560168796;-0.282051282051282;-0.8211757489561822
Medium;0.1598768024639507;-0.5053956834532374;-0.4234871473694296
Unknown;0.3878322433551329;0.00390625;-0.3535961856146665
Low;0.0388392232155356;0.331578947368421;0.440011944206656
Unknown;0.0301993960120797;-0.5466666666666666;-1.1204928774689815
High;0.7321853562928742;0.0671641791044776;0.1808753511271997
Unknown;0.626667466650667;-0.0025974025974025;0.2371091313554141
Unknown;0.6535069298614028;0.3;0.2108338085875444
Unknown;0.0155196896062078;0.3366013071895425;0.506222543534706
High;0.4353112937741245;0.039039039039039;-0.2443977646286126
Low;0.0023599528009439;0.5805555555555556;0.8210837996429193
Unknown;0.2349553008939821;-0.4555555555555555;-0.4302150314831197
High;0.0098398032039359;-0.3441558441558441;-1.0847268297210864
Low;0.0026799464010719;-0.4001874414245548;-1.344628668663079
Low;0.0988380232395352;0.1366071428571428;-0.4959120989619247
Unknown;0.0066798664026719;0.5168690958164642;0.6503616741122917
Unknown;0.125237495250095;0.1543209876543209;-0.8016093544523745
Unknown;0.5348693026139477;-0.1886608015640273;-0.1483184054115558
