Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0014799704005919;0.5575221238938053;0.974544038617812
Medium;0.7800643987120257;-0.1041666666666666;-0.1171277205373569
Unknown;0.2681146377072458;-0.2452830188679245;-0.4833981836105882
Unknown;0.0047999040019199;0.8333333333333334;1.4067081496493434
Control;0.123037539249215;-0.3364632237871675;-0.5269110372993793
Medium;0.0009199816003679;0.7533333333333333;1.5622174155158568
Medium;0.758704825903482;0.2027649769585253;0.0950039291668293
Unknown;0.499670006599868;0.191358024691358;0.2916016212248205
Control;0.0495990080198396;0.3950617283950617;0.6980153262950474
Control;0.0681186376272474;-0.3842364532019704;-0.7123181303310245
Unknown;0.0307993840123197;0.4461538461538462;0.7418269306928804
High;0.0794784104317913;-0.3653846153846153;-0.7280890609084232
Unknown;0.8539429211415772;0.050314465408805;0.0617239935556764
Low;0.0139997200055998;0.6177777777777778;1.1223248465371556
Unknown;0.0596388072238555;0.5;0.7946524323123482
Unknown;0.0129197416051678;-0.6111111111111112;-1.1593144323758913
Unknown;0.0009199816003679;0.7753623188405797;1.3175361357470476
Unknown;0.1922361552768944;0.3777777777777777;0.617231387238257
Unknown;0.6609867802643947;0.0426065162907268;0.1893805909101896
Unknown;0.5701885962280754;-0.0204081632653061;0.2630599969557059
Unknown;0.0579188416231675;0.4444444444444444;0.7887930321489548
Unknown;0.1104377912441751;0.2976190476190476;0.5283857073244732
Low;0.2837943241135177;0.4239766081871345;0.3849995022715021
Control;0.0387992240155196;0.4506172839506173;0.9143262734459592
Unknown;0.0178796424071518;-0.624113475177305;-1.0751305044136603
Unknown;0.6072678546429071;-0.144927536231884;-0.2182683179367744
Unknown;0.0373192536149277;0.6148148148148148;0.941268072658034
Unknown;0.2185956280874382;0.2711111111111111;0.5816027418737046
Unknown;0.1132377352452951;0.3717948717948718;0.6968466265703926
Unknown;0.9772604547909042;-0.0432098765432098;0.0228826665471052
Medium;0.0003199936001279;-0.7303703703703703;-1.348569333842593
Low;0.9050618987620248;-0.0151515151515151;-0.0541259782777669
Unknown;0.1078778424431511;0.3884711779448621;0.6419175102550685
Unknown;0.2803943921121578;-0.242063492063492;-0.4055065536250533
Unknown;0.0637587248255034;-0.4625850340136054;-0.8139967876774445
Unknown;0.0004799904001919;0.6006600660066007;1.1232623171680034
Unknown;0.0684786304273914;0.3580246913580246;0.6433711476678932
Control;0.0397992040159196;0.3292929292929293;0.7468975071361874
