Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0001599968000639;0.6923076923076923;1.0377581535528737
Medium;0.0605187896242075;0.1041666666666666;0.8354823355897885
Unknown;0.0854382912341753;0.2327044025157232;0.7100426037173273
Unknown;0.1642767144657106;0.3055555555555556;0.5616854149455601
Control;0.0022399552008959;0.7089201877934272;1.2069485531065989
Medium;0.2259154816903661;0.3666666666666666;0.5109992652846167
Medium;0.0007199856002879;0.695852534562212;1.1960413886444183
Unknown;0.1774364512709745;0.3518518518518518;0.576126914642333
Control;0.5247495050098998;-0.2253086419753086;0.0009660689601624
Control;0.8221035579288414;-0.0147783251231527;0.1416385578752711
Unknown;0.0383592328153436;-0.3630769230769231;-0.8625854638030805
High;0.0629187416251675;0.5641025641025641;0.8362062048215716
Unknown;0.5462690746185076;-0.1823899371069182;-0.1676685305511916
Low;0.0001999960000799;0.8577777777777778;0.8591128104660967
Unknown;0.0012399752004959;0.7839506172839507;1.1280646495858893
Unknown;3.999920001599968e-05;0.8819444444444444;2.169537321483697
Unknown;0.0059998800023999;0.6159420289855072;0.9777409564275816
Unknown;0.117957640847183;-0.2888888888888888;-0.817318685738869
Unknown;0.5172296554068918;0.1729323308270676;0.2732800598001216
Unknown;0.0282394352112957;0.3809523809523809;0.9396792036903114
Unknown;0.1633167336653267;0.1693121693121693;0.5364873726120944
Unknown;0.6012279754404912;0.0785714285714285;0.18625640115007
Low;0.1408771824563508;0.0263157894736842;-0.5535075415020079
Control;0.376352472950541;0.2901234567901234;0.3891073378174836
Unknown;0.0020399592008159;0.7446808510638298;1.3182339422836151
Unknown;0.2224755504889902;0.3043478260869565;0.500438256163052
Unknown;0.0159596808063838;0.6370370370370371;1.059224269026278
Unknown;0.2271954560908781;-0.4844444444444444;-0.604539648036645
Unknown;0.0076398472030559;0.6346153846153846;1.0712264372552407
Unknown;0.6783864322713545;-0.1049382716049382;-0.1430917968765899
Medium;3.999920001599968e-05;0.8962962962962963;2.2485562420375627
Low;0.0044399112017759;0.5643939393939394;1.1339979579633523
Unknown;0.2569548609027819;0.037593984962406;-0.4918589512359919
Unknown;3.999920001599968e-05;0.9682539682539684;2.598329847356285
Unknown;0.0010799784004319;0.6938775510204082;0.8839381015185153
Unknown;0.3462730745385092;-0.2095709570957095;-0.2862976128131929
Unknown;0.0017199656006879;-0.6680384087791496;-1.1364901011427344
Control;0.1479570408591828;-0.109090909090909;-0.4867238765196123
Control;0.884182316353673;0.4592592592592592;0.1009609836760252
Medium;0.6407071858562828;0.03515625;-0.1599448424606338
Unknown;0.994460110797784;0.0755555555555555;0.0539525530472981
Unknown;0.25347493050139;0.1463414634146341;-0.5411130147898203
Unknown;0.0567988640227195;0.3688888888888889;0.8496367754434999
Control;3.999920001599968e-05;0.9382716049382716;2.023994753426936
Unknown;0.0649987000259994;0.3836477987421384;0.6423403137583555
Unknown;0.2972740545189096;-0.2318840579710145;-0.4185924762605335
High;3.999920001599968e-05;1.0;2.878079358406044
Unknown;0.1590368192636147;-0.2592592592592592;-0.6002354136394078
Control;0.3913921721565568;-0.0357142857142857;-0.2498226075567482
Control;0.9565808683826325;-0.0649350649350649;-0.0123242587202097
High;0.1700365992680146;0.3263888888888889;0.6017623697457807
Unknown;0.250994980100398;0.3260869565217391;0.4951095895892338
Unknown;0.0016799664006719;0.7361111111111112;1.2546925134634546
Unknown;0.8475030499390013;0.2517006802721088;-0.030481832484078
Unknown;0.0725185496290074;-0.2619047619047619;-0.8229225702566634
Unknown;0.0001599968000639;0.7922077922077922;1.3132975270456355
Unknown;0.3826723465530689;0.2222222222222222;0.3344433175269847
Unknown;0.0006399872002559;0.5743801652892562;0.6668158650913348
Unknown;0.1911161776764464;0.3819444444444444;0.5726209711245597
Unknown;0.0157596848063038;0.5399515738498789;0.9708804270042056
Unknown;0.0347993040139197;0.3714285714285714;0.8999787359201524
Unknown;0.0567988640227195;0.2809523809523809;0.5525751654673672
Unknown;0.492870142597148;0.2533333333333333;0.3051924280390333
Control;0.8096238075238495;0.3525641025641026;-0.0009544242784714
Unknown;0.0149597008059838;0.4855403348554033;0.7298250280535697
Control;0.2893142137157257;-0.1523809523809524;-0.4341743125280909
Unknown;0.0021199576008479;0.710691823899371;1.2811100719708557
Medium;0.0017999640007199;0.7124183006535948;1.3661382453531057
Unknown;0.0141997160056798;0.5666666666666667;0.8533953012070062
Unknown;0.245835083298334;0.2592592592592592;0.5051109795411163
Unknown;0.8116237675246495;-0.1088435374149659;-0.0816956051765562
Unknown;0.9339813203735924;-0.0518518518518518;0.018020125544164
Unknown;0.2581548369032619;0.2513227513227513;0.3171052216541504
Low;0.2669546609067819;0.2318840579710145;0.458569312692251
Unknown;0.0590788184236315;-0.6180555555555556;-0.9735335934230168
Unknown;0.4713905721885562;-0.2916666666666667;-0.3006727560014198
Unknown;3.999920001599968e-05;0.741337630942788;1.008206785615595
Unknown;0.3527129457410852;0.32;0.4135981875665341
Unknown;0.8405831883362332;0.0465116279069767;0.1151710326176463
Unknown;0.0576388472230555;0.5652173913043478;0.7963507957945338
Unknown;0.367592648147037;0.2121212121212121;0.3927108037546962
Unknown;0.7159856802863943;0.0354609929078014;0.187654713082244
Unknown;0.0264394712105757;0.4800936768149882;0.7894237726302128
Unknown;0.1815563688726225;-0.5407407407407407;-0.6199511005346284
Control;0.0115197696046079;-0.350210970464135;-1.223405494690751
Unknown;0.3157936841263175;0.1280788177339901;0.3679874854995214
Unknown;0.8247035059298814;-0.0691823899371069;-0.0885906417687674
Unknown;0.493630127397452;0.0666666666666666;0.3217579351281362
Unknown;3.999920001599968e-05;0.7;0.9992081986394106
Unknown;0.5822408142142488;0.0833333333333333;0.2953186920165802
Unknown;0.7753444931101378;0.1111111111111111;0.1133634271318371
Low;0.6681866362672747;0.5192307692307693;0.1956753724513131
Unknown;0.8630627387452251;-0.0816326530612244;0.1380655112645161
Unknown;0.5175896482070359;-0.0068027210884353;-0.2760405045754781
Unknown;0.0162796744065118;0.5833333333333334;0.9291055743763968
Unknown;0.1543969120617587;-0.0694444444444444;-0.6614647665839978
Control;0.2538749225015499;0.4301470588235294;0.429677283418391
Unknown;0.0504389912201755;0.5644444444444444;0.8546080789817512
Unknown;0.0171996560068798;0.4691358024691358;0.8170383818758354
