Dosage;p-value;Cliff's Delta;Cohen's D
Low;3.999920001599968e-05;-0.8720217835262083;-2.8879619741380678
Medium;0.0397992040159196;-0.0902777777777777;-1.3164565479454164
Unknown;0.0088798224035519;-0.2893081761006289;-1.674781295180798
Unknown;0.1658766824663506;-0.2847222222222222;-0.6281398634861154
Control;0.1330373392532149;-0.5242566510172144;-0.6513324092029275
Medium;0.992860142797144;-0.2;0.0273599071800906
Medium;3.999920001599968e-05;-0.9493087557603688;-3.5460910042783143
Unknown;0.2127157456850863;-0.4259259259259259;-0.5583428469893316
Control;0.50294994100118;0.0925925925925925;0.2462763679868929
Control;0.5798284034319313;0.1477832512315271;0.2214756368200537
Unknown;0.0275994480110397;0.3815384615384615;0.6855719703924088
High;0.2741145177096458;-0.4423076923076923;-0.490656876067384
Unknown;0.995380092398152;-0.0518867924528301;0.0128862499917806
Low;0.0008799824003519;-0.8755555555555555;-2.1716045486545488
Unknown;0.0977180456390872;-0.4753086419753086;-0.7679133816474454
Unknown;0.0082398352032959;-0.8125;-1.5649230669907297
Unknown;0.0031999360012799;-0.7536231884057971;-1.5718001083852795
Unknown;0.7330253394932101;0.1466666666666666;-0.0508770594595462
Unknown;0.8735825283494331;-0.238095238095238;-0.0453437966603343
Unknown;0.0072398552028959;-0.4693877551020408;-1.4565627206068092
Unknown;0.0463190736185276;-0.3809523809523809;-0.979126175930067
Unknown;0.0819983600327993;-0.3523809523809524;-0.6397412007527382
Low;0.6850262994740105;-0.1929824561403508;-0.0660820045651135
Control;0.9087018259634808;-0.0432098765432098;0.105930174317589
Unknown;0.0036799264014719;-0.7943262411347518;-1.667419528743048
Unknown;0.2102357952840943;-0.1521739130434782;-0.5829245444645506
Unknown;0.0551988960220795;-0.6592592592592592;-0.970613808240686
Unknown;0.5315893682126357;0.0755555555555555;0.3119512119960898
Unknown;0.0749585008299834;-0.6089743589743589;-0.9571956297747218
Unknown;0.6192676146477071;0.2962962962962963;0.2201965158079472
Medium;3.999920001599968e-05;-0.9348148148148148;-2.9540485805825605
Low;0.0001599968000639;-0.6893939393939394;-1.9244175826703744
Unknown;0.4615907681846363;-0.0275689223057644;-0.2926441029354503
Unknown;3.999920001599968e-05;-0.9206349206349206;-3.5692556556231785
Unknown;0.0058398832023359;-0.6326530612244898;-1.477495948427014
Unknown;0.4407111857762845;0.1815181518151815;-0.2247539466328929
Unknown;0.0036399272014559;0.6406035665294925;0.7524403375639163
Control;0.5169896602067958;0.0545454545454545;0.2146225131950772
Control;0.0479990400191996;-0.437037037037037;-0.998531768846026
Medium;0.24687506249875;-0.1328125;-0.4476838847812804
Unknown;0.8549829003419932;-0.0311111111111111;-0.0627193041290303
Unknown;0.2768344633107338;-0.3170731707317073;-0.4863560731277943
Unknown;0.1067178656426871;-0.2355555555555555;-1.0544727222386605
Control;3.999920001599968e-05;-0.9506172839506172;-3.2060822505348257
Unknown;0.0285194296114077;-0.5283018867924528;-1.1280449132160784
Unknown;0.5413891722165557;-0.144927536231884;-0.259515604482506
High;3.999920001599968e-05;-1.0;-4.0914665591698265
Unknown;0.9122217555648888;0.2116402116402116;0.0542173199557613
Control;0.9040619187616248;-0.0816326530612244;-0.0586545086452328
Control;0.120037599248015;0.4493506493506493;0.6238270396369148
High;0.0116797664046719;-0.2916666666666667;-1.3857053634940388
Unknown;0.0812383752324953;-0.5072463768115942;-0.8071792712909865
Unknown;0.0029999400011999;-0.7152777777777778;-1.4336171685935435
Unknown;0.238755224895502;-0.3333333333333333;-0.508883684595938
Unknown;0.7126657466850663;0.0;0.1502310765075544
Unknown;0.0031199376012479;-0.6883116883116883;-1.4629631681362751
Unknown;0.24287514249715;-0.2708333333333333;-0.4435753660481537
Unknown;0.0012399752004959;-0.4917355371900826;-1.0559343741040523
Unknown;0.1323173536529269;-0.25;-0.7415621796479234
Unknown;0.0006799864002719;-0.4769975786924939;-1.8161018977199417
Unknown;0.0408791824163516;-0.4904761904761904;-1.0083478804456507
Unknown;0.7133457330853383;0.0166666666666666;-0.114854895542861
Unknown;0.1265974680506389;-0.3533333333333333;-0.6283499983321732
Control;0.0083598328033439;-0.5961538461538461;-1.2188164743522578
Unknown;0.0367592648147037;-0.4794520547945205;-0.8157865284366381
Control;0.2039559208815823;-0.1285714285714285;-0.541084511670215
Unknown;0.0047599048019039;-0.7169811320754716;-1.6579106344914056
Medium;0.0001199976000479;-0.8627450980392157;-2.05976186561879
Unknown;0.1669166616667666;-0.4066666666666667;-0.6349745297524195
Unknown;0.0525989480210395;-0.4;-0.958348893516906
Unknown;0.0734785304293914;-0.0204081632653061;-0.9265866139155632
Unknown;0.4863502729945401;0.037037037037037;-0.2910519371457443
Unknown;0.8359832803343933;-0.1388888888888889;0.0691721858218819
Low;0.871622567548649;-0.144927536231884;-0.0528478055017242
Unknown;0.5991480170396593;0.0;0.2549166484421528
Unknown;0.0243995120097598;-0.2152777777777778;-1.1520740628323929
Unknown;3.999920001599968e-05;-0.6913779210314263;-1.938693855337562
Unknown;0.0167196656066878;-0.2933333333333333;-1.3167665836536218
Unknown;0.4624307513849723;0.1782945736434108;0.3397381210744394
Unknown;0.0003199936001279;-0.7971014492753623;-2.0306230659449613
Unknown;0.1542769144617107;-0.5909090909090909;-0.7295179856092967
Unknown;0.9254214915701686;-0.0141843971631205;-0.0428347870415424
Unknown;0.378792424151517;-0.4285714285714285;-0.3326267338713279
Unknown;0.7449451010979781;0.2222222222222222;0.1538111199823855
Control;0.123077538449231;0.350210970464135;0.5211558409495357
Unknown;0.0553988920221595;-0.1379310344827586;-1.0419535843386842
Unknown;0.4781504369912602;0.1949685534591195;0.3222092504106162
Unknown;0.25087498250035;-0.4814814814814814;-0.5119282856052149
Unknown;7.999840003199936e-05;-0.7348837209302326;-1.6403124978111026
Unknown;0.123296532689322;-0.3666666666666666;-0.9570391646145784
Unknown;0.7202255954880903;-0.0119047619047619;-0.1215602151754623
Low;0.0081598368032639;-0.5307692307692308;-1.042836061371654
Unknown;0.1481170376592468;0.4013605442176871;0.5723120934076436
Unknown;0.0090798184036319;-0.564625850340136;-1.2789294155560644
Unknown;0.3538729225415492;-0.2638888888888889;-0.4081410557619666
Unknown;0.624307513849723;0.1111111111111111;-0.1763191057953096
Control;0.2527949441011179;-0.6580882352941176;-0.4561819823945163
Unknown;0.0786384272314553;-0.5377777777777778;-0.8503000532438725
Unknown;0.0005599888002239;-0.6234567901234568;-1.4155671797805438
Unknown;0.0045999080018399;-0.4571026722925457;-1.2214550897605672
Unknown;0.0001599968000639;-0.8412698412698413;-1.549452077066658
Unknown;0.0007999840003199;-0.7581699346405228;-2.0424234223786706
Unknown;0.0007999840003199;-0.6450617283950617;-1.4701443551152693
Unknown;0.0052798944021119;-0.4153846153846154;-1.3233754196909528
Unknown;0.0196396072078558;-0.2026755852842809;-0.8813391238849556
Unknown;7.999840003199936e-05;-0.7422839506172839;-1.4148684595933898
Unknown;0.0016399672006559;-0.7925925925925926;-1.7180564401142375
Unknown;0.0028399432011359;-0.6598639455782312;-1.7474039702227069
Unknown;0.0977180456390872;-0.4488888888888889;-0.8247248929261366
Low;0.9061018779624408;0.2794117647058823;-0.0093490756788579
Unknown;0.8013839723205536;0.0378787878787878;-0.0802248185425356
Unknown;0.7162656746865063;0.0256410256410256;0.1357882211496547
Unknown;0.0009199816003679;-0.7191283292978208;-1.5373085385541592
Unknown;0.0055598888022239;-0.7484276729559748;-1.339353372922867
Unknown;0.0002799944001119;-0.6481012658227848;-1.5935866465840696
Unknown;0.5157896842063159;0.0641025641025641;0.2946552862547779
Low;0.8421031579368413;0.0486111111111111;0.084017880911998
Unknown;0.0913181736365272;0.4;0.6973180884338839
Unknown;0.0001999960000799;-0.7925925925925926;-1.943285431810569
Unknown;0.0034399312013759;-0.762962962962963;-1.795985738628974
Unknown;0.5991880162396752;0.2615384615384615;0.182471567177925
Unknown;0.3113537729245415;0.2051948051948052;0.4119639472200251
Unknown;7.999840003199936e-05;-0.6127659574468085;-1.8175097246984
Unknown;0.3628727425451491;-0.0666666666666666;-0.4259452165257077
Unknown;0.0003199936001279;-0.6622807017543859;-1.7470973284362237
Unknown;0.0215595688086238;-0.6848484848484848;-1.3191748140768949
Unknown;0.2587548249035019;-0.3555555555555555;-0.5162028313933816
High;0.4603507929841403;0.2888888888888888;0.3353563717374035
Unknown;0.3184736305273895;0.2753623188405797;0.437418978942192
Unknown;0.4380312393752125;0.2051948051948052;0.322423138260226
Unknown;0.3597928041439171;0.2148148148148148;0.4063382876037824
