Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0569188616227675;0.4023144996596324;0.5559036879912457
Medium;0.0385992280154396;-0.5833333333333334;-0.9965205673662156
Unknown;0.0015199696006079;-0.6855345911949685;-1.5604623453805522
Unknown;0.0572788544229115;0.5416666666666666;0.7647947499295475
Control;0.0802383952320953;0.3896713615023474;0.6078265666332187
Medium;0.0827983440331193;0.3833333333333333;0.7006734002586027
Medium;0.0006799864002719;0.8755760368663594;1.1145747289597068
Unknown;0.5508689826203476;0.3981481481481481;-0.1868355082254253
Control;0.0022799544009119;0.6820987654320988;1.0663970965042595
Control;0.0089198216035679;0.5812807881773399;0.819637251113358
Unknown;0.0064398712025759;0.556923076923077;0.886152548334549
High;0.0011599768004639;0.7884615384615384;1.2574556882587231
Unknown;0.2581948361032779;0.1580188679245283;0.3417733382227066
Low;0.489630207395852;-0.0044444444444444;0.3329319638934429
Unknown;0.0827983440331193;0.5617283950617284;0.6730633959698389
Unknown;0.0811583768324633;-0.46875;-0.7814482822665421
Unknown;0.7608647827043459;-0.2753623188405797;0.0629736688141706
Unknown;0.0893982120357592;0.4755555555555555;0.7570871597676188
Unknown;0.0683186336273274;0.3884711779448621;0.7385582318150833
Unknown;0.7048259034819304;0.0340136054421768;-0.1529541895821995
Unknown;0.0008799824003519;0.6507936507936508;1.5091330089527226
Unknown;0.0046399072018559;0.5071428571428571;0.9558778403973106
Low;3.999920001599968e-05;0.8625730994152047;1.6242782884999356
Control;0.0778784424311513;-0.2901234567901234;-0.8832039226015832
Unknown;0.0019199616007679;-0.75177304964539;-1.3874450608799842
Unknown;0.0307193856122877;-0.6340579710144928;-1.008847019600987
Unknown;0.6847863042739145;0.0592592592592592;0.1971303167445556
Unknown;0.5700685986280274;0.0577777777777777;0.2795643664089213
Unknown;0.5151096978060439;0.25;0.3191749857920545
Unknown;0.6638267234655307;-0.1481481481481481;-0.1046003837080265
Medium;0.0043199136017279;0.5362962962962963;0.971598335143895
Low;0.0520389592208155;0.4715909090909091;0.6961798564902597
Unknown;0.8960620787584248;0.0476190476190476;-0.0075612022067019
Unknown;0.0027199456010879;-0.5198412698412699;-1.1934237621463226
Unknown;0.0019599608007839;0.8163265306122449;1.0624316743887026
Unknown;0.0041599168016639;0.495049504950495;0.8582407419050532
Unknown;0.0002399952000959;0.6844993141289437;1.344954223151771
Control;0.0820383592328153;0.3171717171717171;0.5427756432526685
Control;0.0228395432091358;-0.5888888888888889;-1.219185928974826
Medium;0.2891142177156456;0.1328125;0.4058394200539815
Unknown;0.1366372672546549;0.4044444444444444;0.6997386071308936
Unknown;0.0103597928041439;0.4308943089430894;0.8016801635603831
Unknown;0.6101877962440752;-0.4133333333333333;-0.1916668443509931
Control;0.0207995840083198;0.5987654320987654;0.791715284448214
