Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.0343593128137437;-0.3247106875425459;-0.6210852410646754
Medium;0.4596774193548387;-0.4137931034482758;-0.775809820602283
Unknown;0.0269194616107677;0.60062893081761;1.097990781539252
Unknown;0.0235995280094398;0.6304347826086957;1.250046450270357
Medium;1.0;-0.02;-0.148461497791618
Medium;0.2111557768844623;-0.3110599078341013;-0.5891157415098756
Unknown;1.0;-0.0555555555555555;-0.2513579676212995
Control;0.2704345913081738;0.2257462686567164;0.5985932582122344
Control;0.8079838403231935;0.1182266009852216;0.2496571014448263
Unknown;1.0;-0.0172413793103448;-0.1412929664185257
High;0.0023599528009439;0.717948717948718;1.576871885663082
Unknown;0.4288314233715325;0.165880503144654;0.2962365299995838
Low;0.9117017659646808;-0.1555555555555555;-0.41478067789217
Unknown;0.868262634747305;-0.1203703703703703;-0.1673897358606483
Unknown;1.0;-0.0590277777777777;-0.0357634451122474
Unknown;1.0;-0.0579710144927536;-0.1321406407718702
Unknown;0.3607527849443011;-0.2977777777777777;-0.5751536210124325
Unknown;0.8245035099298014;0.1177944862155388;0.1969665391377124
Unknown;0.4207115857682846;-0.2925170068027211;-0.4803626747778473
Unknown;0.1618767624647507;-0.373015873015873;-0.6591405244231453
Unknown;0.1384372312553748;-0.25;-0.5882305402386693
Low;0.6115077698446031;-0.131578947368421;-0.3804700802167556
Control;0.3917921641567168;0.1944444444444444;0.4793993222492657
Unknown;0.5807483850322993;0.2163120567375886;0.4470630850261085
Unknown;0.3378332433351333;-0.1304347826086956;-0.5224632900120594
Unknown;7.999840003199936e-05;0.8777777777777778;2.020095023916903
Unknown;0.0639587208255834;-0.5466666666666666;-0.9044312632922692
Unknown;0.626227475450491;0.1987179487179487;0.2963146649216649
Unknown;0.1304773904521909;-0.4135802469135802;-0.7744410685975384
Medium;0.0008399832003359;0.6456456456456456;1.525440911652047
Low;0.0003999920001599;0.6814516129032258;1.8616781247119627
Unknown;0.9130217395652088;-0.037593984962406;0.157348747010584
Unknown;1.0;-0.0317460317460317;-0.0674143535978122
Unknown;0.7968640627187457;-0.1423611111111111;-0.2497333332574409
Unknown;0.0623587528249435;-0.3374587458745874;-0.6231723648749808
Unknown;0.7233055338893222;0.1289437585733882;0.2359168278140004
Control;0.747265054698906;0.1155555555555555;0.1563374252796988
Control;0.3813123737525249;0.2355555555555555;0.5520524474738834
Medium;0.0003199936001279;0.69140625;1.4211547019800832
Unknown;1.0;0.0465116279069767;0.015925858065745
Unknown;0.2086758264834703;-0.3699186991869919;-0.7472315468326493
Unknown;1.0;0.1;0.1714985851425088
Unknown;0.620147597048059;0.2484276729559748;0.3125712152875309
Unknown;0.0053198936021279;0.6594202898550725;1.7092344183365458
High;0.3017939641207176;0.1255813953488372;0.7967839799645139
Unknown;0.3080338393232135;0.2592592592592592;0.5459498419379007
Control;0.2315953680926381;-0.3214285714285714;-0.6305898774321406
Control;0.7451850962980741;0.1450617283950617;0.2775784395549197
High;1.0;-0.0416666666666666;-0.2170286830706077
Unknown;1.0;-0.1702898550724637;0.0757420911604313
Unknown;0.0371992560148797;-0.4583333333333333;-1.1697953037312037
Unknown;1.0;-0.0416666666666666;-0.0820291318246688
Unknown;0.504309913801724;0.2119047619047619;0.3537384714429171
Unknown;0.250754984900302;0.2623376623376623;0.8345880519279104
Unknown;0.2960340793184136;-0.2465277777777778;-0.4385472181737977
Unknown;0.1411971760564788;-0.2272727272727272;-0.5693837554431693
Unknown;0.9499810003799924;-0.1180555555555555;-0.137062493657565
Unknown;0.3924321513569728;-0.2203389830508474;-0.5536773294205051
Unknown;0.6954660906781864;0.1095238095238095;0.2806162451287944
Unknown;0.2253554928901422;-0.2098765432098765;-0.5402402871882424
Unknown;0.6794264114717705;0.1333333333333333;0.2910427500435997
Control;1.0;0.0579710144927536;0.1782272129841124
Unknown;0.0275994480110397;0.4885844748858447;0.8890039065424225
Control;0.2753544929101418;0.2738095238095238;0.5408512226926698
Unknown;1.0;-0.0384615384615384;-0.2112235418114766
Medium;0.8920221595568089;0.1437908496732026;0.1861823448832311
Unknown;0.3591528169436611;-0.4133333333333333;-0.4953158452434802
Unknown;0.8865422691546169;0.1925925925925926;0.1510588167446932
Unknown;1.0;-0.064625850340136;-0.0684780190581565
Unknown;0.1941561168776624;-0.3851851851851852;-0.693103280083672
Unknown;0.8601427971440572;-0.0317460317460317;-0.1527830828380352
Low;0.3461530769384612;0.1847826086956521;0.5482730039618126
Unknown;0.7786244275114498;-0.1481481481481481;-0.2353963865967196
Unknown;0.1525969480610387;-0.375;-0.7017294652672371
Unknown;1.0;-0.037037037037037;-0.2092926630424937
Unknown;0.9723405531889362;0.13;0.0736690958163052
Unknown;1.0;-0.0465116279069767;-0.2309073571817941
Unknown;0.629507409851803;0.1231884057971014;0.5256235019211597
Unknown;1.0;-0.25;-0.5488212999484517
Unknown;0.5953480930381393;0.2133333333333333;0.3746343246326777
Unknown;1.0;-0.0163934426229508;-0.1342862125657206
Unknown;0.8571428571428571;-0.0666666666666666;-0.1825741858350556
Control;0.0528789424211515;0.5682137834036568;0.8384646974778527
Unknown;1.0;0.0615763546798029;0.1440311601912234
Unknown;1.0;-0.0251572327044025;-0.0516511061886711
Unknown;0.3365932681346373;-0.2851851851851852;-0.526243241524571
Unknown;0.0207995840083198;-0.4246575342465753;-0.8993728335918317
Unknown;1.0;-0.125;-0.3933978962347215
Unknown;0.7592648147037059;0.0297619047619047;0.1963578149527796
Low;1.0;-0.0288461538461538;-0.0795470620874612
Unknown;0.0254394912101757;0.5666666666666667;1.3801978884973471
Unknown;0.124237515249695;0.3061224489795918;0.8215911102638381
Unknown;0.6833863322733545;0.1736111111111111;0.2588634954533962
Unknown;0.6076278474430511;-0.1701388888888889;-0.3086695206271092
Control;0.1956360872782544;0.3455882352941176;0.6207460158472635
Unknown;0.5594288114237715;0.2711111111111111;0.4068381021724862
Unknown;0.3454330913381732;-0.1929012345679012;-0.4014040072503624
Unknown;0.8969020619587609;-0.0185185185185185;0.0986310340124517
Unknown;0.6075478490430192;-0.0687830687830687;-0.2845551705837737
Unknown;0.1863162736745265;-0.3660130718954248;-0.6537065979564436
Unknown;0.0016799664006719;-0.6358024691358025;-1.1520785330161134
Unknown;1.0;-0.0076923076923076;-0.033488293524613
Unknown;0.6575068498630028;-0.0869565217391304;-0.3230291412348993
Unknown;0.0016799664006719;0.5347222222222222;1.1075191027853
Unknown;0.7813043739125217;-0.1555555555555555;-0.4249013566989197
Unknown;0.0190796184076318;-0.6190476190476191;-1.1263957662593855
Unknown;0.5419491610167797;-0.2444444444444444;-0.549964408040972
Low;0.8923821523569528;-0.07;-0.2877424176667931
Unknown;0.885422291554169;-0.0388257575757575;-0.1518503734107339
Unknown;1.0;0.0427350427350427;0.0601448759831847
Unknown;1.0;-0.0508474576271186;-0.2410630211070923
Unknown;0.0775584488310233;-0.4716981132075472;-0.8483388494929566
Unknown;0.0156796864062718;-0.4525641025641025;-0.8167509289442172
Unknown;0.1512769744605107;-0.3878205128205128;-0.7341312607473424
Low;1.0;0.2;0.4999999999999999
Unknown;0.0957580848383032;-0.4733333333333333;-0.7969658630854064
Unknown;0.0019599608007839;0.6777777777777778;1.79996964151691
Unknown;0.1789164216715665;0.4074074074074074;0.8038369524685002
Unknown;7.999840003199936e-05;-0.7576923076923077;-1.423549493370394
Unknown;0.0585988280234395;0.4675324675324675;0.9251203765710114
Unknown;1.0;0.0340425531914893;0.0760263706306181
Unknown;1.0;-0.0977777777777777;-0.1003139725151038
Unknown;1.0;0.0324074074074074;0.1079044943774492
Unknown;1.0;0.0125;0.0310428153952762
Unknown;0.5603887922241555;0.1777777777777777;0.4623522443101985
High;0.4420311593768125;-0.2790697674418604;-0.6435087613090209
Unknown;0.7953216374269005;-0.2352941176470588;-0.5452032265107638
Unknown;1.0;0.0535714285714285;0.1050210063021006
Unknown;0.1491570168596628;0.4111111111111111;0.7341813004856483
Unknown;0.4795104097918041;-0.2291666666666666;-0.5675139399803956
Unknown;0.5397092058158837;-0.2444444444444444;-0.5874504568180079
Unknown;0.0471190576188476;-0.4333333333333333;-0.9102581058557724
Unknown;0.6965860682786345;-0.1142857142857142;-0.2320080843336549
Unknown;0.6091478170436592;0.1064935064935064;0.4943467968671237
Unknown;0.9250614987700246;-0.0760869565217391;-0.1520814518017867
Unknown;0.3179136417271654;-0.3033333333333333;-0.5908168493992032
Unknown;0.0114397712045759;0.6060606060606061;1.2030670427074135
Control;1.0;0.0;0.0
Control;0.0533989320213595;0.6470588235294118;1.0826207228050773
Unknown;0.0343193136137277;0.5882352941176471;1.1000798421245006
Unknown;1.0;-0.0357142857142857;-0.0769382536178922
Unknown;0.1513169736605268;0.4245283018867924;0.704841692127012
Unknown;1.0;-0.074074074074074;-0.1637834754333501
Medium;0.0047999040019199;-0.4242424242424242;-0.8181293847051858
Unknown;1.0;0.0714285714285714;-0.0310098763577915
