Dosage;p-value;Cliff's Delta;Cohen's D
Low;3.999920001599968e-05;0.8366235534377128;1.7689302491973569
Medium;0.0436791264174716;0.2013888888888889;0.967353756806018
Unknown;0.0168796624067518;-0.5345911949685535;-1.10080574331653
Unknown;7.999840003199936e-05;0.9375;1.8737886554220695
Control;3.999920001599968e-05;0.9593114241001564;2.358147675714092
Medium;0.497990040199196;-0.0533333333333333;0.2857311461751562
Medium;3.999920001599968e-05;0.9585253456221198;2.0632421179140805
Unknown;0.745345093098138;0.0925925925925925;0.1465937571847806
Control;7.999840003199936e-05;0.7932098765432098;1.305753675946132
Control;0.2958340833183336;0.1921182266009852;0.4257045239420071
Unknown;0.0024399512009759;0.7446153846153846;1.2062964705864834
High;3.999920001599968e-05;0.9807692307692308;1.8590362890336136
Unknown;0.2325553488930221;0.1776729559748427;0.3682208079808463
Low;3.999920001599968e-05;0.9288888888888888;2.18186734386314
Unknown;0.4079918401631967;0.2716049382716049;0.3420544233249309
Unknown;0.0123997520049599;-0.5902777777777778;-1.1384502114544823
Unknown;0.4019919601607968;-0.1956521739130435;-0.3733300820541896
Unknown;0.0217595648087038;0.6088888888888889;1.082216903262189
Unknown;0.0135197296054078;0.5639097744360902;1.02591655219779
Unknown;0.0020799584008319;0.6326530612244898;1.517403967167427
Unknown;0.0126797464050718;0.582010582010582;1.0919906961990462
Unknown;0.0008799824003519;0.5666666666666667;1.1142776369026284
Low;3.999920001599968e-05;0.8888888888888888;1.6664012150785392
Control;0.1909961800763984;0.1666666666666666;0.5786636449987839
Unknown;0.1480770384592308;-0.4042553191489361;-0.6465140094204501
Unknown;0.4051918961620767;-0.2826086956521739;-0.3661622197069732
Unknown;0.0040399192016159;0.6962962962962963;1.3496398693285512
Unknown;0.0002399952000959;0.8755555555555555;2.595151001054412
Unknown;0.5877482450350993;0.25;0.2102716909573959
Unknown;0.50394992100158;-0.2530864197530864;-0.2923449138575886
Medium;3.999920001599968e-05;0.8488888888888889;1.7718220086483911
Low;3.999920001599968e-05;0.8295454545454546;1.7529874969987964
Unknown;0.0284394312113757;0.4185463659147869;0.925043016213884
Unknown;0.8204635907281854;0.0357142857142857;0.0906181500964379
Unknown;0.0038399232015359;0.7278911564625851;1.1023076633747295
Unknown;0.0004799904001919;0.4867986798679868;1.0989204168557247
Unknown;7.999840003199936e-05;0.7914951989026063;1.7050378731397746
Control;3.999920001599968e-05;0.7818181818181819;1.49353383549636
Control;0.0753184936301274;0.2;0.8452030453934455
Medium;3.999920001599968e-05;0.8828125;1.8065182323648457
Unknown;0.0051198976020479;0.7244444444444444;1.3795575553292156
Unknown;0.0003199936001279;0.8292682926829268;1.8172805412448656
Unknown;0.9195016099678006;-0.0044444444444444;-0.0388401102827852
Control;3.999920001599968e-05;0.9074074074074074;1.912255140055844
Unknown;0.5651886962260755;0.1132075471698113;0.2608547611906215
Unknown;0.2595948081038379;-0.4057971014492754;-0.4916235316161943
High;0.0003599928001439;0.8666666666666667;1.6303128213911031
Unknown;0.2780744385112297;-0.2751322751322751;-0.438291307509771
Control;0.0455990880182396;0.4693877551020408;0.845066245370807
Control;3.999920001599968e-05;0.8285714285714286;1.9215891745042184
High;0.982420351592968;0.0625;-0.0024927487093735
Unknown;0.5330693386132277;0.1594202898550724;0.2746761737961708
Unknown;0.0276394472110557;0.5625;0.9518882302779498
Unknown;0.7288254234915301;-0.0816326530612244;-0.1425822086100267
Unknown;0.0006399872002559;0.5904761904761905;1.75115613843187
Unknown;0.0489590208195836;-0.5116883116883116;-0.8267547502205191
Unknown;0.0204795904081918;0.2326388888888889;1.2464347953505848
Unknown;3.999920001599968e-05;0.8161157024793388;1.7196192922931226
Unknown;0.246915061698766;-0.3125;-0.5109574290375937
Unknown;3.999920001599968e-05;0.9854721549636803;2.5786915459167146
Unknown;0.9063818723625529;-0.2523809523809524;0.0366650621211675
Unknown;0.0009999800003999;0.6619047619047619;1.1678839740256477
Unknown;3.999920001599968e-05;0.9066666666666666;2.314995632590392
Control;0.0110397792044159;0.6346153846153846;1.1040964319159596
Unknown;0.0017199656006879;0.604261796042618;1.142841691804065
Control;0.8203035939281215;-0.1047619047619047;-0.1003990541196673
Unknown;0.498230035399292;0.2327044025157232;0.3106146562054864
Medium;7.999840003199936e-05;1.0;2.271558809034336
Unknown;0.6406671866562669;-0.1333333333333333;-0.2078438297388361
Unknown;0.2593948121037579;-0.4074074074074074;-0.4939174503051711
Unknown;0.1411971760564788;0.1020408163265306;0.6537368909030525
Unknown;0.2773944521109577;0.2814814814814815;0.4803116152500557
Unknown;3.999920001599968e-05;0.7341269841269841;1.7354670429484975
Low;3.999920001599968e-05;0.9347826086956522;1.6851646316269009
Unknown;0.0266794664106717;0.4861111111111111;1.0386627470516645
Unknown;0.0653586928261434;0.5138888888888888;0.8281849370225968
Unknown;3.999920001599968e-05;0.9371474617244158;1.93590915835026
Unknown;0.9515009699806004;-0.0133333333333333;0.0228397228307288
Unknown;0.0022399552008959;0.7364341085271318;1.236170699845936
Unknown;0.0027999440011199;-0.7898550724637681;-1.3450741078713384
Unknown;0.8125037499250015;-0.0303030303030303;-0.1099283482087094
Unknown;0.8601027979440411;0.0425531914893617;0.0769233326901662
Unknown;0.8923021539569208;-0.0538641686182669;-0.0588261277070091
Unknown;0.3267534649307014;-0.2814814814814815;-0.4361737563709834
Control;0.0091998160036799;0.4796061884669479;0.9563348971253868
Unknown;0.1944761104777904;0.1133004926108374;0.5342157317813933
Unknown;0.117677646447071;-0.4088050314465409;-0.7269333360103881
Unknown;0.6074278514429712;-0.1481481481481481;-0.2188444001271725
Unknown;0.7310253794924102;0.0813953488372093;0.1171227554309807
Unknown;4.312575470070726e-05;1.0;2.510374327869704
Unknown;0.6981060378792424;0.1587301587301587;0.1471278575872157
Low;3.999920001599968e-05;0.9346153846153846;2.5296101399846966
Unknown;0.4876302473950521;0.3469387755102041;0.3103815338562698
Unknown;0.0165596688066238;0.5850340136054422;1.205774073637034
Unknown;0.9049019019619609;0.1458333333333333;-0.0246504245939527
Unknown;0.0007199856002879;0.7777777777777778;1.6298654783989486
Control;0.121117577648447;0.4558823529411764;0.608940033241907
Unknown;0.0020799584008319;0.7777777777777778;1.4255539846458594
Unknown;0.1287574248515029;0.2962962962962963;0.5411897923514835
Unknown;0.0391992160156796;0.5133614627285513;0.8150014303948718
Unknown;0.3061938761224775;0.2063492063492063;0.4090007182370972
Unknown;0.0525589488210235;0.3006535947712418;0.905195740880716
Unknown;3.999920001599968e-05;0.9074074074074074;1.6561947425337589
Unknown;0.0829183416331673;0.4115384615384615;0.6402526024498533
Unknown;0.0003599928001439;0.5531772575250836;0.9076703654890826
Unknown;3.999920001599968e-05;0.7731481481481481;2.061284298848808
Unknown;0.9177816443671126;-0.1481481481481481;-0.0550108670646495
Unknown;0.0003599928001439;0.8231292517006803;2.113786453049677
Unknown;0.0626787464250715;0.52;0.9073144686909052
Low;3.999920001599968e-05;0.9133986928104576;2.315366851756678
Unknown;0.0017599648007039;0.5284090909090909;1.0008151587977194
Unknown;3.999920001599968e-05;0.9031339031339032;1.982275377344413
Unknown;0.4178716425671486;0.2058111380145278;0.3145435503583391
Unknown;0.0071598568028639;0.6289308176100629;1.2551627875632834
Unknown;0.0003999920001599;0.7088607594936709;1.2826384867845335
Unknown;0.0935181296374072;0.4294871794871794;0.7265006700543898
Low;7.999840003199936e-05;0.875;1.6527064779398497
Unknown;0.3926321473570529;0.2266666666666666;0.3718549264031904
Unknown;0.2360352792944141;-0.5333333333333333;-0.5115250388899305
Unknown;0.4265914681706366;-0.3259259259259259;-0.3469077042576995
Unknown;7.999840003199936e-05;0.85;1.5478720873430607
Unknown;0.0033199336013279;-0.6623376623376623;-1.2418785615664985
Unknown;0.7864242715145697;0.0276595744680851;0.0936108440811027
Unknown;0.9479810403791924;-0.0133333333333333;0.0278026841153029
Unknown;3.999920001599968e-05;0.8728070175438597;1.8971793595876425
Unknown;0.2377952440951181;0.4424242424242424;0.5742232571536376
Unknown;0.5885082298354033;-0.2;-0.2344539910249093
High;0.1989960200795984;0.0755555555555555;0.5878310689663278
Unknown;0.1989960200795984;0.2971014492753623;0.5697497067666121
Unknown;3.999920001599968e-05;0.8805194805194805;1.696957661286273
Unknown;0.0467990640187196;0.4148148148148148;0.8835630140553862
Unknown;0.0369592608147837;0.4305555555555556;0.9609094311646658
Unknown;7.999840003199936e-05;0.9466666666666668;2.129198347066616
Low;3.999920001599968e-05;0.855072463768116;1.7979198607673148
Unknown;0.7731045379092418;0.0476190476190476;0.1236729504234711
Unknown;0.4794704105917882;0.1064935064935064;0.2960732864253522
Unknown;0.2847943041139177;-0.2155844155844155;-0.4354229468351991
Unknown;0.5577088458230836;0.1304347826086956;0.2664084930402129
Unknown;0.3621127577448451;0.2533333333333333;0.4028400583374338
Unknown;0.6823863522729545;-0.0814814814814814;-0.1665991512642459
Control;0.0360792784144317;0.3068783068783068;0.9134964122049508
Control;0.0003599928001439;0.8301886792452831;1.5883196244642066
Unknown;0.8385032299354013;-0.0522875816993464;-0.1476042281375303
Unknown;0.994340113197736;-0.03;0.0063679403652909
Unknown;0.4273114537709245;-0.1257861635220125;-0.3394968255955187
Unknown;0.1664366712665746;0.382716049382716;0.6036269413428802
Medium;0.0007199856002879;0.4528619528619528;0.9677410000820166
Unknown;0.3495530089398212;-0.3191489361702128;-0.4111749343291406
Unknown;0.0001199976000479;0.6979166666666666;1.7339029858502533
Unknown;0.5230295394092118;-0.2148148148148148;-0.2788067779775489
Unknown;3.999920001599968e-05;0.9744897959183674;2.3382518333603177
Control;0.0017199656006879;0.6302521008403361;1.2400900074672996
Unknown;0.9620207595848084;-0.050314465408805;-0.0124863322591711
Unknown;0.0020399592008159;0.7755102040816326;1.3298033963233158
Unknown;0.380672386552269;0.2266666666666666;0.4007400907535577
Unknown;0.0932381352372952;0.2222222222222222;0.7850693035055689
Unknown;0.0001999960000799;0.6823176823176823;1.323356139963684
Unknown;0.0510389792204155;-0.5317460317460317;-0.8715378296767546
Unknown;7.999840003199936e-05;0.7572815533980582;1.4979374975586954
Unknown;0.0491990160196796;0.5288888888888889;0.8992469203785453
Unknown;0.0535189296214075;0.3194805194805195;0.8437500360653062
Unknown;0.494870102597948;-0.0980392156862745;0.2862194179773492
Unknown;0.5501889962200756;-0.1022222222222222;-0.2942185307401328
Low;0.0001599968000639;0.8611111111111112;1.5224303141365267
Unknown;0.3933921321573568;-0.2352941176470588;-0.3753000096867417
Unknown;0.0347193056138877;0.5022222222222222;1.0401399307521284
Medium;3.999920001599968e-05;0.8022388059701493;1.6180930241870497
Unknown;0.2859142817143657;0.25;0.4337773468064904
Unknown;3.999920001599968e-05;0.928030303030303;2.541626764149912
Unknown;7.999840003199936e-05;0.7442922374429224;1.288666999704472
Unknown;0.0096798064038719;0.5431818181818182;0.8433427435317168
Unknown;0.5343093138137237;-0.2355555555555555;-0.3091517662463007
Unknown;0.7939041219175617;0.0138888888888888;0.1110621957200603
Low;0.0004399912001759;0.7142857142857143;1.3414614222008188
Unknown;3.999920001599968e-05;0.9591836734693876;2.4437760833698143
Unknown;0.0012799744005119;0.8066666666666666;1.9370322690537056
Unknown;0.0227195456090878;-0.5866666666666667;-1.0528602452349158
Unknown;0.2277954440911181;-0.3141025641025641;-0.5217532930086103
High;3.999920001599968e-05;0.946153846153846;2.915212721897022
Unknown;0.2207155856882862;0.3066666666666666;0.5935496442465726
Unknown;0.5857882842343153;0.1111111111111111;0.2581233641098241
Low;3.999920001599968e-05;0.8238095238095238;1.488717543600417
Unknown;0.4196316073678526;0.2780487804878049;0.3935118166489214
Low;3.999920001599968e-05;0.9573820395738204;2.5363166302100955
High;0.0219995600087998;0.2024691358024691;0.8385089665362635
Unknown;0.1850762984740305;-0.2296296296296296;-0.5885911200077949
Control;3.999920001599968e-05;0.9285714285714286;2.098365584632874
Unknown;3.999920001599968e-05;0.9473319473319474;1.8564201945343903
Unknown;0.0155196896062078;0.4829931972789115;1.1159727977007854
Unknown;0.0006799864002719;0.6935064935064935;1.5660253188840665
Unknown;0.0558788824223515;-0.5466666666666666;-0.942585153220558
Unknown;0.2353552928941421;-0.562962962962963;-0.5114017930864839
Medium;0.0001199976000479;0.8703703703703703;1.5013223169295566
Unknown;7.999840003199936e-05;0.8106060606060606;1.8941975244819955
Medium;0.0035599288014239;0.7610062893081762;1.1622404386819112
Unknown;0.0032399352012959;0.673202614379085;1.2783212805903843
Unknown;0.0885982280354392;0.5767195767195767;0.7687449057052008
Unknown;0.9061018779624408;-0.0277777777777777;-0.0530091690946205
Unknown;0.4079518409631807;0.335064935064935;0.3234240723686166
Control;0.2976340473190536;0.2777777777777778;0.4963693173240592
Unknown;0.0991180176396472;0.0680272108843537;0.8382688746346529
Unknown;0.0207595848083038;0.6133333333333333;0.9980163552488236
Unknown;0.6817063658726825;0.2312925170068027;0.1701440457796209
Unknown;0.0003999920001599;0.75;1.6621645498063908
Unknown;0.0748385032299354;0.5;0.8142618870920214
Low;0.5428291434171316;0.0289855072463768;0.2632184410022999
Unknown;0.117477650446991;0.3555555555555555;0.7056600857313593
Unknown;0.2613147737045259;-0.2056737588652482;-0.4885436518487259
Unknown;0.4736305273894522;0.126865671641791;0.2707408457255523
Unknown;0.4178316433671326;0.2030075187969924;0.330631795340695
Low;0.0010399792004159;0.7346153846153847;1.24164125398396
Unknown;0.0021599568008639;0.6232558139534884;1.0482418640113396
Unknown;0.0001199976000479;0.7857142857142857;1.9940631386805283
Low;0.0001599968000639;0.8222222222222222;1.633166535097842
Unknown;0.1050378992420151;-0.4888888888888889;-0.7150860660735342
Control;3.999920001599968e-05;0.9734848484848484;2.12781175933685
Unknown;3.999920001599968e-05;0.9371069182389936;1.8656155030017283
Unknown;0.0003599928001439;0.6538461538461539;1.6272468359821997
Unknown;0.0375192496150077;-0.52;-1.0707387455349209
