Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.24207515849683;0.2437031994554118;0.3464936860803676
Medium;0.0109197816043679;-0.5902777777777778;-1.2472640222454765
Unknown;0.0004799904001919;-0.8301886792452831;-1.5686295479580834
Unknown;0.1327973440531189;0.46875;0.6201923671114148
Control;0.3033139337213256;0.1533646322378716;0.3665873134496046
Medium;0.1922361552768944;0.31;0.5640048753337887
Medium;0.0321993560128797;0.5460829493087558;0.8135647461814175
Unknown;0.4573908521829563;0.3055555555555556;-0.2586421167504093
Control;0.0549189016219675;0.6512345679012346;0.816503573731347
Control;0.0167596648067038;0.5197044334975369;0.7799009575836365
Unknown;0.0001199976000479;0.7107692307692308;1.1950123125953955
High;0.0043599128017439;0.7532051282051282;1.1276809458268198
Unknown;0.2098758024839503;0.1933962264150943;0.378894997984006
Low;0.9817003659926802;-0.1911111111111111;-0.0596280337762483
Unknown;0.2685546289074219;0.4814814814814814;0.4536721476814379
Unknown;0.0009599808003839;-0.8333333333333334;-1.473483351127714
Unknown;0.9085418291634167;-0.3115942028985507;-0.0952760931461783
Unknown;0.0477990440191196;0.5822222222222222;0.8480515314949455
Unknown;0.0949581008379832;0.3709273182957393;0.6703596078252133
Unknown;0.3456730865382692;-0.0476190476190476;-0.4096378985961875
Unknown;0.0013999720005599;0.5925925925925926;1.413507892424835
Unknown;0.0031999360012799;0.5476190476190477;0.9745238907829
Low;3.999920001599968e-05;0.8625730994152047;1.6164638136538452
Control;0.0781184376312473;-0.3024691358024691;-0.8438432872470474
Unknown;0.0008399832003359;-0.7801418439716312;-1.408465839526597
Unknown;0.0269994600107997;-0.6376811594202898;-1.0378527213636923
Unknown;0.8453030939381212;-0.1629629629629629;-0.0688437066119908
Unknown;0.3131537369252615;0.2888888888888888;0.4799137774834908
Unknown;0.8128637427251455;0.032051282051282;0.1405862686144653
Unknown;0.6923861522769544;-0.1481481481481481;-0.0776176169895621
Medium;0.0751984960300794;0.3851851851851852;0.6086057668114849
Low;0.1478370432591348;0.3503787878787879;0.530163269452275
Unknown;0.8096238075238495;0.0175438596491228;0.1589404676358153
Unknown;3.999920001599968e-05;-0.7341269841269841;-2.1937156728104665
Unknown;0.0049599008019839;0.7346938775510204;0.9832519739711922
Unknown;0.0104797904041919;0.4917491749174917;0.8094908636650062
Unknown;0.0003199936001279;0.6968449931412894;1.459921050405328
Control;0.0469990600187996;0.2181818181818181;0.6395912741117696
Control;0.0111197776044479;-0.6814814814814815;-1.2941871760247634
Medium;0.242355152896942;0.09765625;0.4452284990487185
Unknown;0.118277634447311;0.4044444444444444;0.7382158618178788
Unknown;0.0083998320033599;0.3739837398373983;0.9719014537439736
Unknown;0.1713965720685586;-0.5022222222222222;-0.6742280315327559
Control;0.3985920281594368;0.2654320987654321;0.3834472380189266
Unknown;0.9054618907621848;-0.0377358490566037;-0.0503531912268802
Unknown;0.1641167176656467;-0.7355072463768116;-0.6948344910193185
High;0.0152796944061118;-0.6444444444444445;-1.2408524891332064
Unknown;0.5054698906021879;-0.2433862433862433;-0.2674581453567088
Control;0.254314913701726;0.2346938775510204;0.4320972087605739
Control;3.999920001599968e-05;0.8493506493506493;1.6040032699922653
High;0.8977420451590968;0.0;0.0535869836970416
Unknown;0.0622387552248955;-0.5289855072463768;-0.7859962020578996
Unknown;0.372192556148877;-0.5381944444444444;-0.4038547759871548
Unknown;0.6663866722665547;0.0816326530612244;-0.1571914763894507
Unknown;0.0097998040039199;0.3595238095238095;1.313517614809087
Unknown;0.0001999960000799;-0.8649350649350649;-1.298682278643548
Unknown;0.374152516949661;0.1840277777777778;0.3225084411448772
Unknown;0.1612367752644947;0.0836776859504132;0.4357714963420425
Unknown;0.0004399912001759;0.7638888888888888;1.8655011312622232
Unknown;0.6080678386432271;-0.1767554479418886;-0.2084866099561304
Unknown;3.999920001599968e-05;-0.8571428571428571;-1.6962081848966768
Unknown;0.1489970200595988;0.5178571428571429;0.5213410388228917
Unknown;0.0656386872262554;0.5;0.8287194427934967
Control;0.3272334553308934;0.4038461538461538;0.4270834853746014
Unknown;0.0143997120057598;0.4764079147640791;0.8601041814702255
Control;0.2277954440911181;-0.5261904761904762;-0.5129910914509855
Unknown;0.8870622587548249;-0.0251572327044025;-0.0669981552768182
Medium;0.9141417171656568;-0.1437908496732026;-0.0186905181705523
Unknown;0.0477190456190876;-0.49;-0.8108265188077391
Unknown;0.0053598928021439;-0.725925925925926;-1.352966249596927
Unknown;0.365952680946381;0.0;-0.3854187071327123
Unknown;0.2879942401151977;-0.2148148148148148;-0.472216886735052
Unknown;0.0039199216015679;0.5099206349206349;0.6866246176635237
Low;0.0874382512349753;0.3333333333333333;0.6070233088190243
