Dosage;p-value;Cliff's Delta;Cohen's D
Low;0.1806763864722705;0.3342409802586794;0.3163311758342219
Medium;0.501469970600588;-0.3263888888888889;-0.1315156227727024
Unknown;0.125197496050079;-0.3584905660377358;-0.7411559446985896
Unknown;7.999840003199936e-05;0.9027777777777778;0.830566040027048
Control;0.0002399952000959;0.6995305164319249;1.2592249067305727
Medium;0.1991960160796784;0.28;0.4577573935521961
Medium;0.2237155256894862;0.4147465437788018;0.3646741298865896
Unknown;0.2595948081038379;0.2407407407407407;-0.4851409789082626
Control;0.2607947841043179;0.1975308641975308;0.2174346591740965
Control;0.2174756504869902;0.2610837438423645;0.3964896261611551
Unknown;0.1646767064658706;0.24;-0.5399060663914472
High;0.0005599888002239;0.7756410256410257;1.6074762461120715
Unknown;0.375552488950221;-0.2688679245283019;-0.2657970954320819
Low;0.0256394872102557;0.6533333333333333;0.2469152393998702
Unknown;0.0003999920001599;0.8209876543209876;0.7410010986313618
Unknown;0.0277194456110877;0.5208333333333334;0.49388907581757
Unknown;0.8208635827283455;0.0072463768115942;0.1853930487635678
Unknown;0.7233455330893382;-0.2533333333333333;-0.0311698418919611
Unknown;0.978660426791464;0.238095238095238;0.1323078257281123
Unknown;0.238835223295534;-0.0544217687074829;-0.544024953229038
Unknown;0.2949541009179816;0.3015873015873015;0.4205053106102863
Unknown;0.2011559768804623;-0.0261904761904761;-0.4595742654999537
Low;0.7302253954920902;0.6286549707602339;0.1471367224944108
Control;0.7697046059078818;0.1790123456790123;0.1482600792159754
Unknown;0.1991960160796784;-0.4042553191489361;-0.5849703939502481
Unknown;0.8479030419391612;0.0507246376811594;0.1215878674527564
Unknown;0.1513569728605427;0.2074074074074074;0.5764510733858429
Unknown;0.0003999920001599;0.8933333333333333;0.6358081531255598
Unknown;0.3799524009519809;0.2756410256410256;0.3555534149337278
Unknown;0.0134797304053918;0.6296296296296297;0.9466654490881558
Medium;0.0020799584008319;0.5703703703703704;1.0157312283155548
Low;0.1009579808403832;0.5416666666666666;0.5957713747412472
Unknown;0.3473930521389572;0.213032581453634;-0.278059791445685
Unknown;0.0003999920001599;0.7182539682539683;0.9728051972444026
Unknown;0.9458210835783284;0.0544217687074829;-0.0254026331511293
Unknown;0.9460610787784244;0.028052805280528;0.0646239891664493
Unknown;0.5387892242155157;-0.1906721536351166;0.239794649080981
Control;0.1020779584408311;0.2282828282828282;-0.8130860027176632
Control;0.8415431691366173;-0.1703703703703703;-0.0060958871171211
Medium;0.751744965100698;0.19921875;-0.0706234912173104
Unknown;0.748905021899562;0.0222222222222222;-0.0618013361469649
Unknown;0.0904781904361912;-0.1869918699186991;-0.9831533714500968
Unknown;0.0785984280314393;0.5555555555555556;0.4585906641123969
Control;0.0001999960000799;0.7283950617283951;1.3291783193196245
Unknown;0.0319993600127997;0.490566037735849;0.7288542065482172
Unknown;0.2591148177036459;-0.4057971014492754;-0.4471781070750991
High;0.0016799664006719;0.8133333333333334;1.3090152351813182
Unknown;0.2224755504889902;-0.4179894179894179;-0.5379943352001184
Control;0.5231495370092598;-0.2040816326530612;-0.0570391336158703
Control;0.2696746065078698;0.1324675324675324;0.4463863659603208
High;0.7654646907061858;0.0625;-0.0922191792132837
Unknown;0.864022719545609;-0.1739130434782608;0.0975203690844398
Unknown;0.0059598808023839;0.6736111111111112;0.6302511193553306
Unknown;0.2970340593188136;0.1836734693877551;-0.5125928513359418
Unknown;0.0612787744245115;-0.1333333333333333;-0.8773302324062674
Unknown;0.0291994160116797;0.4441558441558441;0.5892137119380629
Unknown;0.113717725645487;0.2604166666666667;0.5159059746879087
Unknown;0.1375172496550069;0.1446280991735537;0.3910219705553978
Unknown;0.0643987120257594;0.5763888888888888;0.8081154847555595
Unknown;0.0028799424011519;0.6319612590799032;1.1236389430475062
Unknown;0.9573408531829364;0.0428571428571428;0.003107784055703
Unknown;0.0608787824243515;0.219047619047619;0.4066386091442658
Unknown;0.2307153856922861;0.36;0.4101131680147895
Control;0.9442611147777044;0.0576923076923076;0.1476335021048885
Unknown;0.0221995560088798;0.4642313546423135;0.5404957142006485
Control;0.0399192016159676;-0.4904761904761904;-1.2650644945609824
Unknown;0.4021119577608448;0.1886792452830188;0.3416464298082204
Medium;0.3059138817223655;0.2156862745098039;0.4409478015950813
Unknown;0.1425571488570228;0.4666666666666667;0.5078639299890254
Unknown;0.4419111617767645;-0.4740740740740741;-0.3367085240298439
Unknown;0.7099458010839783;-0.3469387755102041;0.0371923963873908
Unknown;0.6791464170716586;-0.0814814814814814;-0.176377223099099
Unknown;0.0407191856162876;0.3082010582010582;0.432605863356643
Low;0.0049999000019999;0.6521739130434783;0.8810824267694285
Unknown;0.977420451590968;0.3819444444444444;0.0592158100282173
Unknown;0.5566688666226676;0.1666666666666666;0.3037783285938975
Unknown;0.0001199976000479;0.6083803384367445;0.4600426744836421
Unknown;0.2172756544869102;-0.12;-0.570481225606385
Unknown;0.6147877042459151;0.3255813953488372;0.2920200068024424
Unknown;0.1894362112757744;-0.3478260869565217;-0.7066527643380349
Unknown;0.5317093658126838;-0.0681818181818181;-0.2541009270229376
Unknown;0.4463510729785404;-0.0780141843971631;-0.2544189148343369
Unknown;0.0357192856142877;0.4800936768149882;0.5361436021846899
Unknown;0.5073498530029399;-0.1407407407407407;-0.2642478140183082
Control;0.8591428171436571;0.060478199718706;-0.0455781540426011
Unknown;0.5417491650166997;-0.2906403940886699;0.0362400255055086
Unknown;0.0027599448011039;-0.7232704402515723;-1.49236794252065
Unknown;0.7953840923181537;-0.2;-0.0254706815584799
Unknown;0.0106397872042559;0.5348837209302325;0.4241533946985577
Unknown;0.6457219251336899;-0.2666666666666666;-0.1917851254946501
Unknown;0.875502489950201;0.1825396825396825;0.0763155544773269
Low;0.4186716265674686;0.3884615384615384;-0.2838723402593618
Unknown;0.5937481250374993;-0.3945578231292517;-0.1171092520705589
Unknown;0.0651586968260634;0.0068027210884353;-0.9354567329229376
Unknown;0.7667046659066818;-0.0277777777777777;0.2213685100191423
Unknown;0.7665846683066339;0.0625;0.1607245712619849
Control;0.632467350652987;0.6176470588235294;0.2075989197322382
Unknown;0.1446771064578708;0.4133333333333333;0.5346147074080821
Unknown;0.0476790464190716;0.3858024691358024;0.6756493072892303
Unknown;0.3401131977360452;0.0717299578059071;0.3140817875484055
Unknown;0.0635187296254074;0.3703703703703703;0.6066273704770633
Unknown;0.8977820443591128;0.2875816993464052;0.0888102182712327
Unknown;0.0311193776124477;0.441358024691358;0.3804373786023681
Unknown;0.3125137497250055;-0.2346153846153846;-0.3855883070551274
Unknown;0.0111597768044639;0.411371237458194;0.5091606652475499
Unknown;0.0364792704145917;0.3580246913580246;0.5676744274843242
Unknown;0.4271914561708765;-0.2740740740740741;-0.299543097815202
Unknown;0.2219555608887822;0.4557823129251701;0.4959442231510877
Unknown;0.0665986680266394;0.4488888888888889;0.6033985492245817
Low;0.8048239035219296;-0.0718954248366013;0.1314969799079927
Unknown;0.74902501949961;0.4943181818181818;0.0153411033585289
Unknown;0.5449491010179797;0.0626780626780626;0.2566330676823944
Unknown;0.0022399552008959;0.6707021791767555;0.6736831554702408
Unknown;0.1497970040599188;0.320754716981132;0.4549425074263432
Unknown;0.0489190216195676;0.4531645569620253;0.4503770413997963
Unknown;0.882782344353113;0.1025641025641025;0.0716384244457596
Low;0.6033479330413392;0.0902777777777777;0.275577406024006
Unknown;0.2657946841063178;-0.4533333333333333;-0.5061254590028061
Unknown;0.6697466050678986;-0.2592592592592592;-0.0791400853633328
Unknown;0.9511009779804404;-0.0962962962962963;0.0223777411809782
Unknown;0.0742385152296954;0.2653846153846154;0.3859369427220103
Unknown;0.1285974280514389;-0.6571428571428571;-0.7018795863981133
Unknown;0.0052398952020959;0.5723404255319149;0.717340658411182
Unknown;0.2114757704845903;0.2888888888888888;-0.6600639223416581
Unknown;0.1305173896522069;0.4605263157894737;0.5024901346209252
Unknown;0.8714225715485691;0.2848484848484848;0.1201701631006132
Unknown;0.5296694066118678;0.074074074074074;0.2861538136647691
High;0.755304893902122;-0.36;0.1296594230003331
Unknown;0.1339173216535669;-0.3405797101449275;-0.6755682396152193
Unknown;0.2266754664906702;0.2935064935064935;0.320849539090916
Unknown;0.2821143577128457;-0.1851851851851851;-0.4883106625264172
Unknown;0.1635567288654227;0.3541666666666667;0.3537469544510239
Unknown;0.1941561168776624;0.3244444444444444;0.6072660147703484
