Truncation;F1_macro;Accuracy;Precision_macro;Recall_macro;Loss;F1_class_Apoptosis;Precision_class_Apoptosis;Recall_class_Apoptosis;F1_class_Mitosis;Precision_class_Mitosis;Recall_class_Mitosis
0;0.9587627649307251;0.9587712287902832;0.9587868452072144;0.9587712287902832;0.13168388605117798;0.9586777091026306;0.9626556038856506;0.9547325372695923;0.9588477611541748;0.9549180269241333;0.9628099203109741
5;0.9048597812652588;0.9050437211990356;0.9099373817443848;0.9050437211990356;0.24466215074062347;0.91015625;0.8661710023880005;0.9588477611541748;0.8995633125305176;0.9537037014961243;0.8512396812438965
10;0.9029276967048645;0.9030115604400635;0.905632734298706;0.9030115604400635;0.2571655809879303;0.906930685043335;0.8740457892417908;0.9423868060112;0.898924708366394;0.9372197389602661;0.8636363744735718
15;0.9060495495796204;0.9054117798805237;0.9083126783370972;0.9054117798805237;0.27314409613609314;0.9116466045379639;0.88671875;0.9380165338516235;0.9004524946212769;0.9299065470695496;0.8728070259094238
20;0.8990784883499146;0.8976190090179443;0.9020786285400391;0.8976190090179443;0.26086172461509705;0.9087221026420593;0.8853754997253418;0.9333333373069763;0.8894348740577698;0.9187816977500916;0.8619047403335571
25;0.8775596618652344;0.8756684064865112;0.8802825212478638;0.8756684064865112;0.33698365092277527;0.8948453664779663;0.8785424828529358;0.9117646813392639;0.8602739572525024;0.882022500038147;0.8395721912384033
30;0.8304798603057861;0.8236595392227173;0.8442802429199219;0.8236595392227173;0.4415718913078308;0.8714859485626221;0.8314176201820374;0.9156118035316467;0.7894737124443054;0.8571428656578064;0.7317073345184326
35;0.7942198514938354;0.7838906049728394;0.8154765963554382;0.7838906049728394;0.5830143690109253;0.8611670136451721;0.8167939186096191;0.9106382727622986;0.7272727489471436;0.8141592741012573;0.6571428775787354
40;0.7112560272216797;0.6982429623603821;0.7545424699783325;0.6982429623603821;0.8114733695983887;0.8366534113883972;0.7749077677726746;0.9090909361839294;0.5858585834503174;0.7341772317886353;0.48739495873451233
45;0.6663435697555542;0.6557348966598511;0.7030104398727417;0.6557348966598511;0.954523503780365;0.8240165710449219;0.7683397531509399;0.8883928656578064;0.5086705088615417;0.6376811861991882;0.42307692766189575
50;0.6285896301269531;0.617744505405426;0.6604166626930237;0.617744505405426;0.9996641874313354;0.8439560532569885;0.800000011920929;0.8930232524871826;0.41322314739227295;0.5208333134651184;0.34246575832366943
