Truncation;F1;Accuracy;Precision;Recall;Loss
0;0.9325684309005737;0.9394470453262329;0.9261236190795898;0.9394470453262329;0.13859939575195312
5;0.8811904191970825;0.9187050461769104;0.856236457824707;0.9187050461769104;0.23851634562015533
10;0.8725215196609497;0.9089142084121704;0.8483072519302368;0.9089142084121704;0.24027052521705627
15;0.8657270669937134;0.903144121170044;0.8415939807891846;0.903144121170044;0.2631113529205322
20;0.8168234825134277;0.8665561676025391;0.7925899028778076;0.8665561676025391;0.3672644793987274
25;0.7063085436820984;0.7879643440246582;0.7036856412887573;0.7879643440246582;0.7082484364509583
30;0.5818639993667603;0.7000093460083008;0.6391329765319824;0.7000093460083008;1.2791094779968262
35;0.4745684266090393;0.6212100386619568;0.600055456161499;0.6212100386619568;1.8853089809417725
40;0.41313499212265015;0.565025806427002;0.5659271478652954;0.565025806427002;2.261672258377075
45;0.4299696683883667;0.5561224222183228;0.5676758289337158;0.5561224222183228;2.274186134338379
50;0.469463050365448;0.5571118593215942;0.5810670852661133;0.5571118593215942;2.065016984939575
